nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Tipo suelo,Aire acondicionado,Calefacción,Ascensor,Superficie útil,Gastos de comunidad,Amueblado,Armarios empotrados,Puerta blindada,Terraza,Orientación,Planta,Exterior,Cocina equipada,Comedor,Trastero,Portero automático,Soleado,Garaje,Vidrios dobles,Agua,Interior,Piscina,Carpintería interior,Carpintería exterior,Gas,Lavadero,Sistema de seguridad,Adaptado a personas con movilidad reducida,Balcón,Jardín,Superficie solar,Tipo de casa,Se aceptan mascotas,No se aceptan mascotas,Teléfono,Chimenea,Calle alumbrada,Urbanizado,Calle asfaltada,Luz
Piso en calle de Alenza,REDPISO RIOS ROSAS-CHAMBERÍ,7.000 €/m²,420.000 €,60 m²,28079,https://www.pisos.com/comprar/piso-rios_rosas28003-51759016542_104700/,2025-02-15,Error al procesar consumo,Error al procesar emisiones,60 m²,1,1,Más de 50 años,En buen estado,STA39-RP1132025134480,Tarima maciza,Frío y calor,Eléctrica,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de José Abascal,REDPISO RIOS ROSAS-CHAMBERÍ,7.962 €/m²,1.290.000 €,162 m²,28079,https://www.pisos.com/comprar/piso-rios_rosas28003-51727271756_104700/,2025-02-15,Error al procesar consumo,Error al procesar emisiones,162 m²,3,2,Más de 50 años,En buen estado,STA39-RP1132025134581,Tarima maciza,Frío y calor,Central,N/A,144 m²,Más de 100 €,N/A,N/A,N/A,N/A,Oeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de Don Ramón de la Cruz, 34",HOME STYLE MADRID,13.371 €/m²,2.340.000 €,175 m²,28079,https://www.pisos.com/comprar/piso-salamanca_castellana28001-50885284839_529336/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,175 m²,4,4,Más de 50 años,Reformado,4529336-piso Don Ramón de la Cruz,Tarima maciza,Frío y calor,Gas natural,N/A,155 m²,,N/A,Más de 2,N/A,,,2ª,N/A,N/A,N/A,N/A,Portero físico,N/A,,,,,,,,,,,,,,,,,,,,,,,
"Ático en calle de Germán Pérez Carrasco, 40",GILMAR-Madrid,5.641 €/m²,519.000 €,92 m²,28079,https://www.pisos.com/comprar/atico-ciudad_lineal_quintana-5042954505_109700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,92 m²,2,1,,A estrenar,-21660224,,,,N/A,,,,,,N/A,,3ª,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en calle del Conde de Peñalver,BOHER GESTION INMOBILIARIA,9.560 €/m²,1.195.000 €,125 m²,28079,https://www.pisos.com/comprar/piso-goya28006-51678416483_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,125 m²,2,2,Más de 50 años,Reformado,SA56-PH 554,Tarima flotante,Frío,,N/A,95 m²,,N/A,1,,,,1ª,N/A,Cocina americana,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Santa Engracia,WALTER HAUS CHAMBERI,9.701 €/m²,1.300.000 €,134 m²,28079,https://www.pisos.com/comprar/piso-chamberi_almagro28010-50054521110_101800/,2025-02-20,"E, E","E, E",134 m²,2,3,,,IF76602-M20743V,,,,N/A,,,,1,N/A,,,6ª,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Retiro,vip home & investments s.l,11.916 €/m²,1.990.000 €,167 m²,28079,https://www.pisos.com/comprar/piso-ibiza28009-51696933712_108900/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,167 m²,3,4,,A estrenar,XA856-1041,,Frío y calor,Central,N/A,138 m²,Más de 100 €,N/A,,N/A,N/A,Norte,3ª,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Ático en calle de Luchana,WALTER HAUS CHAMBERI,13.947 €/m²,2.650.000 €,190 m²,28079,https://www.pisos.com/comprar/atico-trafalgar28010-50096497309_101800/,2025-02-20,"E, E","E, E",190 m²,4,2,,,IF76602-M20739V,,,,N/A,,,N/A,,,N/A,,6ª,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle del Espíritu Santo,OASIS HOUSE Servicios Inmobiliarios,6.850 €/m²,548.000 €,80 m²,28079,https://www.pisos.com/comprar/piso-universidad_malasana28004-43355546599_524350/,2025-02-17,"C, C","C, C",80 m²,2,1,Más de 50 años,Reformado,524350-OH651,,Frío,Gas natural,,70 m²,60 a 80 euros dependiendo si viene el agua,,,,,Este,4ª,,N/A,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en calle de Covarrubias,WALTER HAUS CHAMBERI,7.664 €/m²,2.100.000 €,274 m²,28079,https://www.pisos.com/comprar/piso-trafalgar28010-50899027609_101800/,2025-02-20,"G, G","G, G",274 m²,6,3,,,IF76602-M20759V,,,Central,N/A,,,,1,,,,1ª,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Francisco de Rojas,WALTER HAUS CHAMBERI,9.691 €/m²,2.200.000 €,227 m²,28079,https://www.pisos.com/comprar/piso-trafalgar28010-43384620471_101800/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,227 m²,3,3,,,IF76602-M20611V,,,Central,N/A,,,N/A,1,N/A,,,3ª,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Fuencarral,WALTER HAUS CHAMBERI,11.602 €/m²,1.079.000 €,93 m²,28079,https://www.pisos.com/comprar/piso-justicia_chueca28004-38410827664_101800/,2025-02-20,"E, E","E, E",93 m²,3,3,,,IF76602-M20485V,,,Central,N/A,,,N/A,,,,,2ª,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de José Abascal,REDPISO RIOS ROSAS-CHAMBERÍ,7.962 €/m²,1.290.000 €,162 m²,28079,https://www.pisos.com/comprar/piso-rios_rosas28003-51727271756_104700/,2025-02-15,Error al procesar consumo,Error al procesar emisiones,162 m²,3,2,Más de 50 años,En buen estado,STA39-RP1132025134581,Tarima maciza,Frío y calor,Central,N/A,144 m²,Más de 100 €,N/A,N/A,N/A,N/A,Oeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Paseo de Eduardo Dato,WALTER HAUS CHAMBERI,11.313 €/m²,6.200.000 €,548 m²,28079,https://www.pisos.com/comprar/piso-chamberi_almagro28010-50068586628_101800/,2025-02-20,"E, E","E, E",548 m²,,,,,IF76602-M20740V,,,Central,N/A,,,,1,,N/A,,7ª,,N/A,,N/A,,,1,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de San Bernardo,WALTER HAUS CHAMBERI,9.375 €/m²,1.200.000 €,128 m²,28079,https://www.pisos.com/comprar/piso-universidad_malasana28015-47578927770_101800/,2025-02-20,"E, E","E, E",128 m²,3,2,,,IF76602-M20701V,,,Central,N/A,,,,1,,,,2ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Arturo Soria,RE/MAX COLLECTION PRIME,9.312 €/m²,1.490.000 €,160 m²,28079,https://www.pisos.com/comprar/atico-san_juan_bautista28043-51748485218_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,160 m²,3,2,Menos de 5 años,,SA5853-2025-1/11894,,N/A,N/A,N/A,,,,1,,N/A,Este,4ª,,,N/A,N/A,,,1,,,,Comunitaria,,,,,,,,,,,,,,,,,,
Piso en calle de Ayala,STUDIOS Y PROYECTOS MADRID (SYPMADRID),12.925 €/m²,3.490.000 €,270 m²,28079,https://www.pisos.com/comprar/piso-goya28001-45908050807_524671/,2025-02-12,"C, C","C, C",270 m²,4,5,Más de 50 años,Reformado,4524671-SYP/103-JOS,Tarima flotante,Frío y calor,Gas natural,N/A,250 m²,Más de 100 €,N/A,N/A,N/A,,Sur,2ª,Balcones,Amueblada,Luminoso,N/A,N/A,N/A,,"Doble cámara , cuatro vidrios",,,,Maciza lacada en gris,PVC,Natural,N/A,Sie,N/A,N/A,,,,,,,,,,,
Piso en calle del Monte Perdido,REDPISO  PORTAZGO,3.869 €/m²,89.000 €,23 m²,28079,https://www.pisos.com/comprar/piso-palomeras_bajas28053-42593333994_996584/,2024-12-19,Error al procesar consumo,Error al procesar emisiones,23 m²,1,1,Más de 50 años,,STA3-RP082024124819,Tarima maciza,,Eléctrica,,21 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle del Segre, 25",WALTER HAUS CHAMARTIN,6.537 €/m²,1.850.000 €,283 m²,28079,https://www.pisos.com/comprar/piso-chamartin_el_viso28002-49188817681_101800/,2025-02-20,"G, G","G, G",283 m²,5,3,Más de 50 años,,IF76850-M30594V,,,,N/A,,,,,,N/A,,2ª,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle de Gabriel y Galán,WALTER HAUS CHAMARTIN,7.291 €/m²,1.750.000 €,240 m²,28079,https://www.pisos.com/comprar/chalet-chamartin_ciudad_jardin28002-48374577403_101800/,2025-02-20,"B, B","B, B",240 m²,6,3,Más de 50 años,,IF76850-M30568V,,,Central,,,,N/A,1,N/A,N/A,,,,N/A,,N/A,,,1,,,,Propia,,,,N/A,N/A,,,Privado,,,,,,,,,,
"Piso en calle de Ana Teresa, 1",SINGLE HOME OBRA NUEVA MADRID,6.385 €/m²,1.820.000 €,285 m²,28079,https://www.pisos.com/comprar/piso-moncloa_aravaca_aravaca28023-4696645935_109700/,2024-12-18,Error al procesar consumo,Error al procesar emisiones,285 m²,,,,A estrenar,4994062-21322539,,,,N/A,,,,,,N/A,,1ª,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Centro,ASTONDO REAL ESTATE,5.681 €/m²,375.000 €,66 m²,28079,https://www.pisos.com/comprar/piso-centro_palacio28005-36715674346_109300/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,66 m²,1,1,,,EP740-3688,,,,,58 m²,Entre 80 y 100 €,N/A,,N/A,,Sur,1ª,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
"Chalet en calle Horche, 3",JAIME VALCARCE CONSULTING INMOBILAIRIO,4.840 €/m²,3.650.000 €,754 m²,28079,https://www.pisos.com/comprar/chalet-moncloa_aravaca_aravaca28023-3548570793_109700/,2024-12-18,Error al procesar consumo,Error al procesar emisiones,754 m²,5,7,,A estrenar,IF5271-20220206,,,,,,,,Más de 2,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle de Siguero,JAIME VALCARCE CONSULTING INMOBILAIRIO,3.409 €/m²,3.000.000 €,880 m²,28079,https://www.pisos.com/comprar/chalet-fuentelarreina28035-39193142319_101800/,2025-02-20,"D, D","D, D",880 m²,6,8,Entre 30 y 50 años,A reformar,IF5271-199,,Frío,Gas natural,,,,,1,,N/A,Norte,,,N/A,,N/A,,,1,,,,Propia,,,,N/A,,,,,1.385 m²,,,,,,,,,
Piso en Estrella,Estrella Asesores Inmobiliarios Slu,6.213 €/m²,640.000 €,103 m²,28079,https://www.pisos.com/comprar/piso-retiro_estrella28007-51743940101_100200/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,103 m²,2,1,Más de 50 años,En buen estado,TC880-610024,Parquet,,Central,,,Más de 100 €,,,,,,,,N/A,,N/A,N/A,,,,,,,,,,,N/A,,,Comunitario,,,,,,,,,,
"Piso en calle de Ana Teresa, 1",SINGLE HOME OBRA NUEVA MADRID,6.385 €/m²,1.820.000 €,285 m²,28079,https://www.pisos.com/comprar/piso-moncloa_aravaca_aravaca28023-4696645935_109700/,2024-12-18,Error al procesar consumo,Error al procesar emisiones,285 m²,,,,A estrenar,4994062-21322539,,,,N/A,,,,,,N/A,,1ª,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en calle calle de Sagasti,WALTER HAUS MADRID,9.655 €/m²,1.680.000 €,174 m²,28079,https://www.pisos.com/comprar/piso-goya28006-39176434478_101800/,2025-02-20,"E, E","E, E",174 m²,3,3,,,IF75984-M11285V,,,Central,N/A,,,,1,,N/A,,6ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Chamartín - El Viso,JAIME VALCARCE CONSULTING INMOBILAIRIO,14.678 €/m²,3.200.000 €,218 m²,28079,https://www.pisos.com/comprar/casa_pareada-chamartin_el_viso28002-35027627165_101800/,2025-02-20,"B, B","B, B",218 m²,3,4,Entre 5 y 10 años,En buen estado,IF5271-156,,Frío,Gas natural,,,,,1,,N/A,Noroeste,,,N/A,,N/A,,,,,,,,,,,N/A,,,,,152 m²,Pareada,,,,,,,,
Piso en Paseo del Rey,WALTER HAUS CHAMBERI,8.222 €/m²,740.000 €,90 m²,28079,https://www.pisos.com/comprar/piso-moncloa_aravaca_arguelles28008-47508616742_101800/,2025-02-20,"E, D","E, D",90 m²,2,2,,,IF76602-M20700V,,,Central,N/A,,,N/A,1,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle del Conde de Peñalver,BOHER GESTION INMOBILIARIA,9.560 €/m²,1.195.000 €,125 m²,28079,https://www.pisos.com/comprar/piso-goya28006-50902833847_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,125 m²,2,2,Más de 50 años,En buen estado,SA56-PH 550,Tarima flotante,Frío,,N/A,95 m²,,N/A,1,,,,1ª,N/A,Cocina americana,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Barrio de Salamanca - Castellana,JAIME VALCARCE CONSULTING INMOBILAIRIO,10.000 €/m²,3.400.000 €,340 m²,28079,https://www.pisos.com/comprar/piso-salamanca_castellana28006-49223909633_101800/,2025-02-20,"C, D","C, D",340 m²,5,4,,A reformar,IF5271-296,,,Gas natural,N/A,,,,1,,N/A,Suroeste,3ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Fuencarral - El Pardo - Fuentelarreina,JAIME VALCARCE CONSULTING INMOBILAIRIO,3.960 €/m²,2.990.000 €,755 m²,28079,https://www.pisos.com/comprar/chalet-fuentelarreina28035-43426916514_101800/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,755 m²,6,5,,En buen estado,IF5271-240,,Frío,Gas natural,,,,,1,,N/A,Sur,,,N/A,,N/A,,,1,,,,Propia,,,,N/A,,,,,1.200 m²,,,,,,,,,
Piso en calle de Guisando,WALTER HAUS CHAMBERI,3.218 €/m²,2.900.000 €,901 m²,28079,https://www.pisos.com/comprar/piso-ciudad_universitaria28035-39187802387_101800/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,901 m²,7,9,Entre 10 y 20 años,,IF76602-M20218V,,,Central,,,,,1,,N/A,Norte,,,,,,,,1,,,,Propia,,,,,,,,Privado,,,,,,,,,,
Piso en calle calle de los Hermanos Miralles,WALTER HAUS MADRID,6.000 €/m²,1.074.000 €,179 m²,28079,https://www.pisos.com/comprar/piso-lista_barrio28006-41675401284_101800/,2025-02-20,"F, F","F, F",179 m²,5,2,Más de 50 años,,IF75984-M11345V,,,Central,N/A,,,,1,,,Oeste,1ª,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle del Príncipe de Vergara, 71",MADRID VILLAGE SOLUCIONES INMOBILIARIAS,9.110 €/m²,2.469.000 €,271 m²,28079,https://www.pisos.com/comprar/piso-salamanca_castellana28006-49168637814_100500/,2025-02-20,"D, D","D, D",271 m²,4,4,Más de 50 años,En buen estado,SA193-3120,,Frío,,N/A,,Más de 100 €,N/A,1,,N/A,,,N/A,Cocina amueblada,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle del Príncipe de Vergara,STUDIOS Y PROYECTOS MADRID (SYPMADRID),14.262 €/m²,4.350.000 €,305 m²,28079,https://www.pisos.com/comprar/piso-recoletos28001-49242446569_524671/,2025-02-12,"A, B","A, B",305 m²,3,4,Más de 50 años,Reformado,4524671-SYP/100-HUS,Tarima flotante,Frío y calor,Central,N/A,290 m²,Más de 100 €,N/A,N/A,N/A,N/A,Este,3ª,Totalmente todo el piso,Amueblada con isla,N/A,N/A,N/A,N/A,,Si de climalit,,,,Macizas lacadas en blanco,Aluminio,,N/A,N/A,N/A,N/A,,,,,,,,,,,
Chalet en Hortaleza - Conde Orgaz - Piovera,JAIME VALCARCE CONSULTING INMOBILAIRIO,4.782 €/m²,5.500.000 €,1.150 m²,28079,https://www.pisos.com/comprar/chalet-piovera28043-42584894465_101800/,2025-02-20,"C, C","C, C",1.150 m²,7,9,Entre 10 y 20 años,En buen estado,IF5271-236,,Frío,Gas natural,,,,N/A,1,,N/A,Este,,,N/A,,N/A,,,1,,,,Propia,,,,N/A,,,,,1.275 m²,,,,,,,,,
Piso en calle de Joaquín Costa,WALTER HAUS CHAMARTIN,7.236 €/m²,1.650.000 €,228 m²,28079,https://www.pisos.com/comprar/piso-chamartin_el_viso28002-47549627982_101800/,2025-02-20,"D, D","D, D",228 m²,4,3,Más de 50 años,,IF76850-M30566V,,,Central,N/A,,,,,,N/A,,,,N/A,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Hilarión Eslava,WALTER HAUS CHAMBERI,7.924 €/m²,2.100.000 €,265 m²,28079,https://www.pisos.com/comprar/piso-gaztambide28015-48360443611_101800/,2025-02-20,"E, E","E, E",265 m²,5,4,,,IF76602-M20706V,,,Central,N/A,,,,1,,,,2ª,,N/A,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,,
