nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Habitaciones,Baños,Antigüedad,Referencia,Armarios empotrados,Calefacción,Garaje,Trastero,Puerta blindada,Ascensor,Terraza,Piscina,Superficie útil,Superficie solar,Conservación,Aire acondicionado,Jardín,Tipo de casa,Cocina equipada,Sistema de seguridad,Planta,Amueblado,Tipo suelo,Gastos de comunidad,Carpintería exterior,Teléfono,Comedor,Lavadero,Urbanizado,Calle alumbrada,Calle asfaltada,Exterior,Carpintería interior,Vidrios dobles,Portero automático,Balcón,Orientación,Soleado,Chimenea,Gas,Interior,Se aceptan mascotas,Adaptado a personas con movilidad reducida,Agua
"Piso en calle de la Virgen de Loreto, 18",Hercesa,3.471 €/m²,374.900 €,108 m²,28005,https://www.pisos.com/comprar/piso-colonia_avenida_de_meco28805-40895931914_101800/,2025-02-20,"A, A","A, A",108 m²,4,2,Menos de 5 años,IF6892-108047,1,Central,1,N/A,N/A,N/A,N/A,Comunitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en calle de Soto del Henares,AVANCE URBANO,1.777 €/m²,320.000 €,180 m²,28172,https://www.pisos.com/comprar/chalet_unifamiliar-villalbilla_centro_urbano-51761494757_995907/,2025-02-13,"A, A","A, A",180 m²,4,3,,"4995907-S. Henares, 25",Más de 2,Aerotermia,1,,N/A,,,,152 m²,150 m²,En buen estado,Aerotermia,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de la Gran Vía, 12",Hercesa,2.834 €/m²,337.270 €,119 m²,28032,https://www.pisos.com/comprar/casa_adosada-camarma_de_esteruelas_centro_urbano-38421574526_109700/,2025-02-08,Error al procesar consumo,Error al procesar emisiones,119 m²,3,2,,4517782-P.2485,N/A,N/A,,,N/A,,,,,,A estrenar,,N/A,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de la Gran Vía, 12",Hercesa,2.819 €/m²,338.370 €,120 m²,28032,https://www.pisos.com/comprar/casa_adosada-camarma_de_esteruelas_centro_urbano-40846660855_101800/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,120 m²,3,3,,IF6892-107379,1,Central,,,N/A,,,Comunitaria,,,,,,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Villalbilla,Estudio Villalbilla-El Viso Sl,1.504 €/m²,322.000 €,214 m²,28172,https://www.pisos.com/comprar/casa_adosada-villalbilla_centro_urbano-49206134954_100200/,2025-01-29,"E, E","E, E",214 m²,4,2,Entre 20 y 30 años,TC804-598304,,N/A,1,,,,N/A,Comunitaria,,,A reformar,N/A,Privado,Adosada,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Villalbilla,DOMUM SOLUCIONES INMOBILIARIAS,2.957 €/m²,499.900 €,169 m²,28172,https://www.pisos.com/comprar/casa_pareada-villalbilla_centro_urbano-50919915866_106700/,2025-02-01,Error al procesar consumo,Error al procesar emisiones,169 m²,4,3,Entre 5 y 10 años,IFC76049-DSI-V2502,,,,N/A,N/A,,,N/A,152 m²,,,N/A,N/A,Pareada,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de la Gran Vía, 7",Hercesa,3.650 €/m²,438.000 €,120 m²,28032,https://www.pisos.com/comprar/casa_adosada-camarma_de_esteruelas_centro_urbano-51680468021_101800/,2025-02-20,"A, A","A, A",120 m²,3,3,,IF6892-107412,1,,1,,N/A,,,,,,,,Privado,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle del Mar Cantábrico,  s/n","PREMIER ESPAÑA, S.A.",2.268 €/m²,793.900 €,350 m²,28104,https://www.pisos.com/comprar/chalet-paracuellos_de_jarama_centro_urbano-5158356840_109700/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,350 m²,5,3,,4991481-21735382,,,N/A,N/A,,,N/A,N/A,,,A estrenar,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle del Mar Cantábrico,  s/n","PREMIER ESPAÑA, S.A.",2.259 €/m²,799.900 €,354 m²,28104,https://www.pisos.com/comprar/chalet-paracuellos_de_jarama_centro_urbano-5023163471_109700/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,354 m²,5,3,,4991481-21666286,,,N/A,N/A,,,N/A,N/A,,,A estrenar,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle del Mar Cantábrico,  s/n","PREMIER ESPAÑA, S.A.",2.155 €/m²,773.900 €,359 m²,28104,https://www.pisos.com/comprar/chalet-paracuellos_de_jarama_centro_urbano-5059624157_109700/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,359 m²,5,3,,4991481-21666290,,,N/A,N/A,,,N/A,N/A,,,A estrenar,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ático en calle de la Plata,  s/n","PREMIER ESPAÑA, S.A.",4.158 €/m²,469.900 €,113 m²,28148,https://www.pisos.com/comprar/atico-zona_sureste-3986608767_109700/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,113 m²,3,2,,4991481-20586670,,,N/A,N/A,,,N/A,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de Alfonso VI,  s/n",INGESCASA,2.785 €/m²,281.315 €,101 m²,28005,https://www.pisos.com/comprar/piso-espartales28806-2573138421_109700/,2024-12-18,"A, A","A, A",101 m²,2,2,,4995071-18997624,,,N/A,,,N/A,N/A,,,,A estrenar,,,,,,Bajo,,,,,,,,,,,,,,,,,,,,,,,
