nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Chimenea,Cocina equipada,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Terraza,Jardín,Piscina,Orientación,Soleado,Tipo de casa,Lavadero,Superficie solar,Amueblado,Balcón,Gastos de comunidad,Agua,Teléfono,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Adaptado a personas con movilidad reducida,No se aceptan mascotas,Interior,Luz
Piso en calle del Terral,INMOBARALIA,4.975 €/m²,995.000 €,200 m²,28115,https://www.pisos.com/comprar/piso-prado_de_somosaguas-51765666177_280500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,200 m²,200 m²,4,3,Bajo,N/A,Entre 10 y 20 años,Reformado,2805-002425,Más de 2,N/A,Tarima flotante,N/A,Aluminio,N/A,Frío y calor,Central,Decorativa,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,50 m²,Comunitario,Comunitaria,Este,N/A,,,,,,,,,,,,,,,,
"Casa adosada en calle de los Hermanos San Román, 1",GILMAR-Madrid,3.846 €/m²,1.300.000 €,338 m²,28115,https://www.pisos.com/comprar/casa_adosada-estacion_zona_norte28224-5170352494_109700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,338 m²,,5,5,,,,A estrenar,-21728222,Más de 2,,,,,,,,,N/A,,N/A,N/A,,,,,N/A,Privado,,,,Adosada,N/A,,,,,,,,,,,,,,
Chalet en El Castillo,FLIMASA,2.000 €/m²,590.000 €,295 m²,28181,https://www.pisos.com/comprar/chalet-castillo_campodon-51718655588_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,295 m²,,3,2,,,,En buen estado,SA4858-C501220,,,,,,,,,,,,,,,,,,,Privado,Propia,,,,,1.075 m²,,,,,,,,,,,,,
Casa en Pozuelo de Alarcón - Somosaguas,JAIME VALCARCE CONSULTING INMOBILAIRIO,5.478 €/m²,6.300.000 €,1.150 m²,28115,https://www.pisos.com/comprar/casa-somosaguas_humera_los_angeles28223-49210369819_101800/,2025-02-20,"A, A","A, A",1.150 m²,,6,9,,,Menos de 5 años,En buen estado,IF5271-295,1,,,,,,Frío,Gas natural,,N/A,,1,N/A,,,,,N/A,,Propia,,,,,3.900 m²,N/A,,,,,,,,,,,,
Chalet en calle de Tera,FLIMASA,2.970 €/m²,695.000 €,234 m²,28181,https://www.pisos.com/comprar/chalet-villaviciosa_de_odon_el_bosque28670-50840990007_100500/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,234 m²,,5,4,,,Entre 20 y 30 años,En buen estado,SA4858-C501221,1,,,,,,Frío,,,Cocina amueblada,,,,,,,,N/A,Privado,Propia,,,,,317 m²,,,,,,,,,,,,,
Piso en Prado de Somosaguas - La Finca - Prado de Somoaguas,JAIME VALCARCE CONSULTING INMOBILAIRIO,5.165 €/m²,935.000 €,181 m²,28115,https://www.pisos.com/comprar/piso-prado_de_somosaguas-48373909772_101800/,2025-02-20,"C, C","C, C",181 m²,,3,2,2ª,,Entre 30 y 50 años,En buen estado,IF5271-291,1,,,,,,Frío,Gas natural,,N/A,,1,N/A,,,,N/A,N/A,,Comunitaria,Oeste,,,,,,N/A,,,,,,,,,,,
Casa adosada en Boadilla del Monte,FLIMASA,3.137 €/m²,960.000 €,306 m²,28022,https://www.pisos.com/comprar/casa_adosada-parque_de_boadilla28660-51732285492_100500/,2025-02-19,"B, B","B, B",306 m²,,4,3,,,Menos de 5 años,En buen estado,SA4858-C501231,1,,Gres,N/A,,,Frío,Gas natural,,Cocina amueblada,,,N/A,,,,,N/A,Privado,Comunitaria,Oeste,,Adosada,,120 m²,,,,,,,,,,,,,
Chalet en Boadilla del Monte - Parque Boadilla,JAIME VALCARCE CONSULTING INMOBILAIRIO,4.168 €/m²,1.730.000 €,415 m²,28022,https://www.pisos.com/comprar/chalet-parque_de_boadilla28669-37520155279_101800/,2025-02-20,"B, B","B, B",415 m²,,6,5,,,Entre 10 y 20 años,En buen estado,IF5271-181,1,,,,,,Frío,Gas natural,,N/A,,1,N/A,,,,,N/A,,Propia,Noreste,,,N/A,1.000 m²,,,,,,,,,,,,,
Casa adosada en Avenida Delta del Ebro,DE LA MANO SERVICIOS INMOBILIARIOS,2.584 €/m²,995.000 €,385 m²,28022,https://www.pisos.com/comprar/casa_adosada-el_olivar_de_mirabal28660-44245509954_100500/,2024-12-05,"A, A","A, A",385 m²,310 m²,5,5,,,Menos de 5 años,,SA5387-1512-140/11124,1,,,,,,N/A,N/A,N/A,,N/A,1,N/A,,N/A,,,N/A,N/A,Comunitaria,Sureste,,Adosada,,,,,Más de 100 €,N/A,N/A,N/A,,,,,,,
Chalet en Valdemorillo,Gilmar Majadahonda,2.550 €/m²,510.000 €,200 m²,28160,https://www.pisos.com/comprar/chalet-camping_valdemorillo-43429493512_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,200 m²,,6,2,,,,,GM8-195736,,,,,,,,,,,,,,,,,,,N/A,N/A,Oeste,,,,976 m²,,,,,,,,,,,,,
