nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Calefacción,Garaje,Orientación,Superficie solar,Tipo de casa,Agua,Comedor,Terraza,Conservación,Aire acondicionado,Cocina equipada,Jardín,Trastero,Piscina,Vidrios dobles,Chimenea,Sistema de seguridad,Puerta blindada,Balcón,Urbanizado,Lavadero,Teléfono,Exterior,Interior,Calle alumbrada,Calle asfaltada,Ascensor,Adaptado a personas con movilidad reducida,Se aceptan mascotas,Soleado,Carpintería exterior,Carpintería interior,Portero automático,Gas
Piso en calle del Peñón,MULTISERVICIOS PROHOGAR,2.552 €/m²,171.000 €,67 m²,28108,https://www.pisos.com/comprar/piso-pedrezuela_centro_urbano-48414331534_100500/,2025-02-20,"D, D","D, D",67 m²,59 m²,2,1,2ª,Entre 10 y 20 años,Entre 40 y 60 €,SA4820-VE00041/10429,N/A,1,Gres,Eléctrica,1,Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en calle de la Ribera,MULTISERVICIOS PROHOGAR,2.617 €/m²,335.000 €,128 m²,28045,https://www.pisos.com/comprar/casa_adosada-colmenar_viejo_centro-49198391735_100500/,2025-02-20,"B, B","B, B",128 m²,88 m²,3,2,,Entre 5 y 10 años,,SA4820-VE00043/10429,,1,,Gas natural,,,40 m²,Adosada,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Valdeolmos,Oficina Nuevo Algete Sl,1.037 €/m²,549.000 €,529 m²,28162,https://www.pisos.com/comprar/casa_unifamiliar-valdeolmos-48408613321_100200/,2025-01-16,"E, D","E, D",529 m²,,4,2,,Entre 20 y 30 años,,TC1071-597258,,,,N/A,1,,,Unifamiliar,,,N/A,En buen estado,N/A,N/A,Privado,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle calle Camino de Hoyarrasa,JAIME VALCARCE CONSULTING INMOBILAIRIO,5.088 €/m²,2.890.000 €,568 m²,28904,https://www.pisos.com/comprar/chalet-la_moraleja_distrito28109-14244680459_101800/,2025-02-20,"C, C","C, C",568 m²,,4,4,,Entre 20 y 30 años,,IF5271-88,,1,,Gas natural,1,Este,1.837 m²,,,,N/A,En buen estado,Frío,N/A,,N/A,Propia,,,,,,,,,,,,,,,,,,,,
Chalet en calle Diseminado Cr Guadalix,VO home propiedades Zona Barajas Alameda,1.135 €/m²,369.000 €,325 m²,28108,https://www.pisos.com/comprar/chalet-pedrezuela_centro_urbano-35021906240_100500/,2025-01-28,"E, E","E, E",325 m²,250 m²,4,3,,Entre 30 y 50 años,,SA5077-280420236,,1,Gres,N/A,1,,3.511 m²,,,,,En buen estado,,Cocina amueblada,Privado,N/A,Propia,N/A,N/A,N/A,,,,,,,,,,,,,,,,,
Piso en La Cabrera,BREM GLOBAL INMOBILIARIA,1.718 €/m²,189.000 €,110 m²,28030,https://www.pisos.com/comprar/piso-la_cabrera_centro_urbano-47564646194_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,110 m²,100 m²,3,1,Bajo,,,SA5479-02092024/11756,,,,N/A,,,,,N/A,,N/A,,,,N/A,N/A,,,,,N/A,N/A,,,,,,,,,,,,,,,
Piso en calle del Asperón,BREM GLOBAL INMOBILIARIA,2.000 €/m²,150.000 €,75 m²,28030,https://www.pisos.com/comprar/piso-la_cabrera_centro_urbano-45866275842_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,75 m²,,3,2,1ª,,,SA5479-98730921/11756,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle de los Peñotes,BREM GLOBAL INMOBILIARIA,1.026 €/m²,269.000 €,262 m²,28901,https://www.pisos.com/comprar/chalet-lozoyuela-45853099899_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,262 m²,,4,1,,Entre 30 y 50 años,,SA5479-103241407/11756,,,,,1,,2.698 m²,,,,N/A,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,
Chalet en Ciudalcampo,JAIME VALCARCE CONSULTING INMOBILAIRIO,2.632 €/m²,2.290.000 €,870 m²,28045,https://www.pisos.com/comprar/chalet-las_vegas_el_pozanco_adelfillas-49183071319_101800/,2025-02-20,"B, B","B, B",870 m²,,5,8,,Entre 5 y 10 años,,IF5271-297,N/A,1,,Eléctrica,1,,2.700 m²,,,,N/A,En buen estado,Frío,N/A,,N/A,Propia,,,,,,,N/A,,,,,,,,,,,,,
"Piso en Avenida de Juan Pablo II,  s/n",HABITAT INMOBILIARIA,4.202 €/m²,685.000 €,163 m²,28903,https://www.pisos.com/comprar/piso-nuevo_tres_cantos-5181122462_109700/,2025-02-03,"A, A","A, A",163 m²,,4,2,Bajo,,,4990150-MTR2,,,,,N/A,,,,,,N/A,A estrenar,,,,N/A,,,,,,,,,,,,,,,,,,,,,
