nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Garaje,Puerta blindada,Terraza,Jardín,Piscina,Orientación,Urbanizado,Calle alumbrada,Tipo de casa,Trastero,Planta,Exterior,Gastos de comunidad,Amueblado,Ascensor,Gas,Portero automático,Sistema de seguridad,Lavadero,Calle asfaltada,Teléfono,Chimenea,Soleado,Adaptado a personas con movilidad reducida,Se aceptan mascotas,Agua,Interior,Balcón,Luz,No se aceptan mascotas
Chalet unifamiliar en calle de la Sagra,NUEVO MILENIO INMOBILIARIA,2.386 €/m²,580.000 €,243 m²,https://www.pisos.com/comprar/chalet_unifamiliar-grinon_centro_urbano-50854089689_990080/,Anuncio actualizado el 10/02/2025,"E, E","E, E",madrid_sur,243 m²,206 m²,1.097 m²,6,4,Entre 30 y 50 años,En buen estado,4990080-V4308X,Más de 2,Lacado,Gres,N/A,Aluminio,Frío y calor,Gasoil,N/A,N/A,Más de 2,N/A,N/A,Privado,Propia,Sureste,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Griñón,Alfa AFS fincas,1.366 €/m²,585.000 €,428 m²,https://www.pisos.com/comprar/casa_unifamiliar-grinon_centro_urbano-49249466297_101000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,428 m²,,,6,4,,,AF221-2329/27,,,,,,Frío,,,,,N/A,569,,N/A,,,,Unifamiliar,N/A,,,,,,,,,,,,,,,,,,,,
Dúplex en calle de Almíbar,Black House Servicios Inmobiliarios,2.064 €/m²,258.000 €,125 m²,https://www.pisos.com/comprar/duplex-aranjuez_centro-50886750572_527256/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,125 m²,120 m²,,4,2,Entre 20 y 30 años,Reformado,4527256-103254607,1,,,,,,Gas natural,,,,,,,,Sureste,,,,,Bajo,N/A,Entre 40 y 60 €,N/A,,,,,,,,,,,,,,,,
Piso en Centro,ALFA URBIZA,1.808 €/m²,246.000 €,136 m²,https://www.pisos.com/comprar/piso-parla_centro28982-50899612540_101000/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,136 m²,,,3,2,,,AF210-2304/439,,,,,,,,,,,N/A,,,N/A,Suroeste,,,,N/A,,N/A,,,N/A,,,,,,,,,,,,,,,
"Ático en calle de Getafe, 12",FUENHOME,3.375 €/m²,270.000 €,80 m²,https://www.pisos.com/comprar/atico-centro_arroyo_la_fuente28944-5160895130_109700/,Anuncio actualizado el 20/02/2025,"A, A","A, A",madrid_sur,80 m²,,,2,2,,A estrenar,4512432-0,,,,,,,,,,,,N/A,,,,,,,,3ª,,,,N/A,,,,,,,,,,,,,,,
Piso en calle de Nuestra Señora de Guadalupe,AGIL INMOBILIARIA,2.820 €/m²,189.000 €,67 m²,https://www.pisos.com/comprar/piso-leganes_centro28911-47583773315_513777/,Anuncio actualizado el 03/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,67 m²,64 m²,,3,1,Entre 30 y 50 años,A reformar,4513777-000528,,,Gres,,Aluminio,,Eléctrica,Patio,,,,,,,Sureste,,,,,Bajo,N/A,Entre 40 y 60 €,,,,,,,,,,,,,,,,,
Dúplex en calle de Antonio Machado,AGIL INMOBILIARIA,1.840 €/m²,658.900 €,358 m²,https://www.pisos.com/comprar/duplex-leganes_centro28911-50077004753_513777/,Anuncio actualizado el 03/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,358 m²,318 m²,,7,3,Entre 20 y 30 años,En buen estado,4513777-000531,Más de 2,,Parquet,,Aluminio,Frío y calor,Gas natural,20m²,,,N/A,2 de 20m²,,,Sur,,,,20m²,3ª,N/A,Más de 100 €,N/A,N/A,N/A,N/A,,,,,,,,,,,,,
Apartamento en Humanes de Madrid,DALIA NUEVO MILENIO,3.625 €/m²,145.000 €,40 m²,https://www.pisos.com/comprar/apartamento-humanes_de_madrid_centro_urbano-49239338323_101800/,Anuncio actualizado el 14/02/2025,"D, C","D, C",madrid_sur,40 m²,,,1,1,Menos de 5 años,,IF76486-0164,,,,,,,Central,N/A,,,N/A,,,,,,,,,,,,,N/A,,,N/A,,,,,,,,,,,,
Casa adosada en El Restón,"ESTUDIO NUEVO RESTON, S.L.",1.813 €/m²,359.000 €,198 m²,https://www.pisos.com/comprar/casa_adosada-el_reston-48336798067_100200/,Anuncio actualizado el 20/02/2025,"E, E","E, E",madrid_sur,198 m²,,,4,3,Entre 30 y 50 años,En buen estado,TC176-596350,,,,,,N/A,,,,1,,N/A,,,,,,Adosada,,,,,,,,,,,,,,,,,,,,,
Piso en Parque Europa-El Prado,ALFA URBIZA,2.774 €/m²,172.000 €,62 m²,https://www.pisos.com/comprar/piso-parque_europa_el_prado-48341344482_101000/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,62 m²,,,3,1,,,AF210-2304/419,,,,,,Frío,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en Los Cestos-Belén-Las Eras,CASTRO INMOBILIARIA,1.540 €/m²,479.000 €,311 m²,https://www.pisos.com/comprar/chalet_unifamiliar-los_cestos_belen_las_eras-50057693471_519880/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,311 m²,290 m²,429 m²,6,4,,En buen estado,4519880-426651,N/A,N/A,Tarima maciza,Doble acristalamiento climalit,Madera,Frío y calor,Gas natural,Independiente con despensa y office 11 metros,N/A,Más de 2,N/A,2 terrazas una cada planta,Privado,,,N/A,N/A,,,,,,,,,,,N/A,N/A,,,,,,,,,,
"Piso en calle del Sol y calle Valencia Con Andrés Martinez,  27",Construcciones y Contratas Centro 59,2.500 €/m²,250.000 €,100 m²,https://www.pisos.com/comprar/piso-nuevo_aranjuez_ciudad_de_las_artes_el_mirador-5207680948_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,100 m²,,,3,2,,A estrenar,4529495-21807988,,,,,,,,,,,N/A,N/A,,,,,,,N/A,Bajo,,,,N/A,,,,,,,,,,,,,,,
Chalet unifamiliar en calle del Río Tiétar,INMOAMP,1.103 €/m²,595.000 €,539 m²,https://www.pisos.com/comprar/chalet_unifamiliar-grinon_centro_urbano-42504754015_523885/,Anuncio actualizado el 22/01/2025,"D, E","D, E",madrid_sur,539 m²,521 m²,530 m²,8,5,Entre 20 y 30 años,En buen estado,4523885-40,Más de 2,Madera,Pizarra,,PVC,,Gasoil,2,2,2,N/A,N/A,Privado,Propia,Suroeste,N/A,N/A,,,,,,,,,,N/A,,N/A,Fibra,2,,,,,,,,
Chalet unifamiliar en calle de la Rosa,GLOBALPISO PALOMERAS-PORTAZGO,1.214 €/m²,340.000 €,280 m²,https://www.pisos.com/comprar/chalet_unifamiliar-batres_centro_urbano28976-45007900119_526710/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,280 m²,170 m²,,4,3,Entre 30 y 50 años,En buen estado,4526710-PAL374,,,Gres,,PVC,Frío y calor,Gasoil,,,1,,N/A,N/A,Acristalada,Sureste,N/A,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en calle del Cacejo,HOGARES GRIÑON,1.509 €/m²,369.900 €,245 m²,https://www.pisos.com/comprar/casa_pareada-cubas_de_la_sagra_centro_urbano-50077405423_101800/,Anuncio actualizado el 19/02/2025,"D, D","D, D",madrid_sur,245 m²,,250 m²,4,3,Entre 10 y 20 años,,IF76953-CACEJO,1,,,,,,Central,N/A,,1,,,Privado,Comunitaria,,,,Pareada,,,,,N/A,,,,,,,,,,,,,,,,
Piso en calle del Doctor Rivas,HF & HOUSE,2.220 €/m²,139.900 €,63 m²,https://www.pisos.com/comprar/piso-casco_antiguo_sur-50066140135_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,63 m²,61 m²,,2,1,Entre 30 y 50 años,En buen estado,SA4738-1020,1,,Gres,N/A,,Frío,Eléctrica,Cocina amueblada,,,N/A,,,,,,,,,1ª,N/A,Entre 40 y 60 €,,,,,,,,,,,,,,,,,
Ático en Plaza de España,PROLUCISA S.L,2.195 €/m²,270.000 €,123 m²,https://www.pisos.com/comprar/atico-moraleja_de_enmedio_centro_urbano-49192770612_305300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,123 m²,123 m²,,3,2,,En buen estado,3053-020065,,Puertas de roble,Gres,De climalit,Ventanas de aluminio lacado en blanco,Preinstalacion de aire acondicionado en toda la ca,Con acumuladores y agua caliente con termo electri,Con acceso a la terraza,Independiente con aire acondicionado y terraza,,N/A,"Dos terrazas, una en cada cara del edificio",,,Sur,,,,,2ª,Y muy luminoso,Comunidad 65€. Ibi 380€ anuales,,N/A,,,,,,,,N/A,,,,,,,
"Piso en calle de Serranillos, 1",PROLUCISA S.L,2.210 €/m²,210.000 €,95 m²,https://www.pisos.com/comprar/piso-moraleja_de_enmedio_centro_urbano-42539774045_305300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,95 m²,90 m²,,3,2,Entre 10 y 20 años,En buen estado,3053-020001,Más de 2,N/A,Tarima flotante,N/A,Aluminio,,Gas natural,N/A,N/A,1,N/A,,,,,,,,N/A,Bajo,N/A,Entre 40 y 60 €,,,N/A,N/A,,N/A,,N/A,,N/A,,,,,,,
"Ático en calle de Getafe, 12",FUENHOME,3.375 €/m²,270.000 €,80 m²,https://www.pisos.com/comprar/atico-centro_arroyo_la_fuente28944-5160895130_109700/,Anuncio actualizado el 20/02/2025,"A, A","A, A",madrid_sur,80 m²,,,2,2,,A estrenar,4512432-0,,,,,,,,,,,,N/A,,,,,,,,3ª,,,,N/A,,,,,,,,,,,,,,,
Chalet adosado en Sector III,REDPISO GETAFE SECTOR 3,2.389 €/m²,485.000 €,203 m²,https://www.pisos.com/comprar/chalet_adosado-getafe_sector_iii28905-50884798348_514205/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,203 m²,165 m²,,4,3,Entre 20 y 30 años,En buen estado,4514205-12984540,Más de 2,,Terrazo,,Aluminio,,Gas natural,Con office,,Más de 2,N/A,,Privado,Comunitaria,,,,,,,,,,,,,,,,,En el salón,,,,,,,,
"Piso en calle de la Florida, 4",REGISTRO DE DEMANDANTES DE VIVIENDA Y SUELO EN COOPERATIVA,1.868 €/m²,130.792 €,70 m²,https://www.pisos.com/comprar/piso-aranjuez_centro-4858738670_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,70 m²,,,2,1,,A estrenar,STD1-0,,,,,,,,,,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,
"Piso en calle Agustina de Aragón,  s/n",GESBRO,2.517 €/m²,183.800 €,73 m²,https://www.pisos.com/comprar/piso-valdemoro_hospital28342-3773660343_109700/,Anuncio actualizado el 18/12/2024,"A, A","A, A",madrid_sur,73 m²,,,2,2,,A estrenar,4525023-20329365,,,,,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en calle de la Florida,Black House Servicios Inmobiliarios,1.977 €/m²,265.000 €,134 m²,https://www.pisos.com/comprar/piso-aranjuez_centro-48354653462_527256/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,134 m²,113 m²,,4,2,Entre 30 y 50 años,En buen estado,4527256-103254596,Más de 2,,,,,Frío y calor,Gas natural,,,1,,N/A,Comunitario,,Sureste,,,,N/A,Bajo,N/A,Entre 80 y 100 €,N/A,N/A,,N/A,N/A,,,,,N/A,,,,,,,
Piso en Centro,ARQUIPISOS GESTION,3.181 €/m²,280.000 €,88 m²,https://www.pisos.com/comprar/piso-leganes_centro28911-44226253210_101800/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,88 m²,,,3,2,,,IF6924-VCN1489,1,,,,,,Central,N/A,,,N/A,,,,,,,,,1ª,,,,N/A,,,,,,,,,,,,,,,
Chalet pareado en Sector III,INMOAMP,2.653 €/m²,520.000 €,196 m²,https://www.pisos.com/comprar/chalet_pareado-getafe_sector_iii28905-51715161724_523885/,Anuncio actualizado el 05/02/2025,"D, E","D, E",madrid_sur,196 m²,190 m²,189 m²,5,3,Entre 30 y 50 años,En buen estado,4523885-000054,Más de 2,,Gres,,Aluminio,Frío y calor,Gas natural,2,2,1,N/A,N/A,Privado,,Suroeste,N/A,N/A,,,,,,Cocina,,Gas natural,,N/A,,N/A,N/A,N/A,,N/A,N/A,,,,,
Piso en Buenos Aires-Cañada Real de Toledo-Puerta de Pinto,"ESTUDIO PINTO I, S.L.",2.055 €/m²,335.000 €,163 m²,https://www.pisos.com/comprar/piso-buenos_aires_canada_real_de_toledo_puerta_de_pinto-50037638980_100200/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,163 m²,,,4,2,Entre 20 y 30 años,En buen estado,TC452-602631,,,Gres,,,N/A,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle Libertad, 3",FORO CONSULTORES INMOBILIARIOS,2.069 €/m²,267.000 €,129 m²,https://www.pisos.com/comprar/piso-humanes_de_madrid_centro_urbano-47557729289_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,129 m²,,,3,2,,A estrenar,FP2-79928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Brasil,SIGLO XXI -,1.415 €/m²,218.000 €,154 m²,https://www.pisos.com/comprar/piso-casco_antiguo_norte-51745505563_992238/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,154 m²,120 m²,,3,2,Entre 10 y 20 años,En buen estado,4992238-13466337,Más de 2,,Tarima flotante,N/A,Aluminio,Frío y calor,Gas natural,N/A,,1,N/A,,,,,,,,N/A,1ª,N/A,,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,,,,,,
Casa unifamiliar en El Restón,"ESTUDIO NUEVO RESTON, S.L.",1.556 €/m²,425.000 €,273 m²,https://www.pisos.com/comprar/casa_unifamiliar-el_reston-50908698499_100200/,Anuncio actualizado el 20/02/2025,"D, D","D, D",madrid_sur,273 m²,,,3,3,Entre 20 y 30 años,En buen estado,TC176-606527,,,,,,N/A,Central,N/A,,,,N/A,Privado,,,,,Unifamiliar,,,,,N/A,,,,,,,,,,,,,,,,
Chalet en calle de Ávila,REMAX SELECTO,1.493 €/m²,490.000 €,328 m²,https://www.pisos.com/comprar/chalet-la_montana_cortijo_de_san_isidro28300-50031109126_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,328 m²,300 m²,610 m²,5,4,Entre 10 y 20 años,,SA4390-2417/9233,1,,,,,N/A,Gas natural,,N/A,1,N/A,N/A,N/A,N/A,Sur,,,,N/A,,,,N/A,,,,,,,,,,,,N/A,,,,
