nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Antigüedad,Conservación,Gastos de comunidad,Referencia,Armarios empotrados,Tipo suelo,Aire acondicionado,Calefacción,Garaje,Terraza,Jardín,Piscina,Tipo de casa,Vidrios dobles,Cocina equipada,Puerta blindada,Trastero,Orientación,Planta,Exterior,Carpintería exterior,Ascensor,Adaptado a personas con movilidad reducida,Superficie solar,Agua,Chimenea,Comedor,Soleado,Amueblado,Sistema de seguridad,Carpintería interior,Gas,Lavadero,Portero automático,Balcón,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Teléfono,Interior,No se aceptan mascotas,Luz
Chalet adosado en calle del Pino Resinero,INMOBILIARIA LOS CASTINES,1.909 €/m²,420.000 €,220 m²,https://www.pisos.com/comprar/chalet_adosado-navalcarnero_centro_urbano-48422870898_520354/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,220 m²,200 m²,4,3,Entre 10 y 20 años,En buen estado,Entre 20 y 40 €,4520354-000025,Más de 2,Parquet,Frío y calor,Gas natural,2,N/A,Privado,Comunitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de María Moliner, 44",HIJES GRUPO INMOBILIARIO,2.184 €/m²,509.000 €,233 m²,https://www.pisos.com/comprar/casa_adosada-mostoles_oeste28935-4591198283_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,233 m²,,3,3,,A estrenar,,4994518-21305831,Más de 2,,,,N/A,N/A,Privado,,Adosada,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa unifamiliar en calle de Ramal del Crucero, 1",Alfa Key West,1.395 €/m²,720.000 €,516 m²,https://www.pisos.com/comprar/casa_unifamiliar-sevilla_la_nueva_centro_urbano-50006218456_101000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,516 m²,,4,5,,,,AF169-2131/4,,,Frío,,,,,N/A,Unifamiliar,,,N/A,N/A,Suroeste,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de Somosierra,  s/n",BROSH,1.876 €/m²,431.600 €,230 m²,https://www.pisos.com/comprar/casa_adosada-navalcarnero_centro_urbano-3867354655_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,230 m²,,4,3,,A estrenar,,4525022-20466167,,,,,N/A,N/A,Privado,,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de María Moliner, 44",HIJES GRUPO INMOBILIARIO,2.374 €/m²,539.000 €,227 m²,https://www.pisos.com/comprar/casa_adosada-mostoles_oeste28935-4631254111_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,227 m²,,3,3,,A estrenar,,4994518-21305837,Más de 2,,,,N/A,N/A,Privado,,Adosada,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de la Paz,GESPAIN ALUCHE CAMPAMENTO,2.364 €/m²,175.000 €,74 m²,https://www.pisos.com/comprar/piso-mostoles_centro28931-51747459011_100500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,74 m²,60 m²,3,1,Más de 50 años,,Entre 60 y 80 €,SA4191-p902/690,,Parquet,,N/A,,N/A,,,,,,,,Noroeste,4ª,,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de Somosierra,  s/n",BROSH,1.876 €/m²,431.600 €,230 m²,https://www.pisos.com/comprar/casa_adosada-navalcarnero_centro_urbano-3894265085_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,230 m²,,4,3,,A estrenar,,4525022-20466168,,,,,N/A,N/A,Privado,,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle Sagitario,  s/n",HABITAT INMOBILIARIA,3.839 €/m²,529.900 €,138 m²,https://www.pisos.com/comprar/chalet-sur_este28938-5140802441_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,138 m²,,4,2,,A estrenar,,4990150-MPMA,,,,,,N/A,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Plaza Mayor,ULCORPI,3.090 €/m²,340.000 €,110 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28922-51737361132_998664/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,110 m²,98 m²,4,2,Entre 30 y 50 años,En buen estado,Más de 100 €,4998664-001360,Más de 2,,,Central,,N/A,Comunitario,Comunitaria,,N/A,Amueblad,,,Sureste,5ª,N/A,Aluminio,Dos ascensores,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Avenida de Carlos V,ARROYO HOUSE INMOBILIARIA,3.103 €/m²,239.000 €,77 m²,https://www.pisos.com/comprar/piso-sur_este28936-51762536334_101800/,Anuncio actualizado el 20/02/2025,"E, E","E, E",madrid_suroeste,77 m²,,3,1,Entre 30 y 50 años,,,IF5854-CARLOS V,1,,,Central,,,,,,,N/A,N/A,,,2ª,,,N/A,,,,,,,,,,,,,,,,,,,,,
Chalet en Campodón,FLIMASA,2.546 €/m²,820.000 €,322 m²,https://www.pisos.com/comprar/chalet-parque_oeste_fuente_cisneros_campodon-43356615546_100500/,Anuncio actualizado el 27/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,322 m²,,9,6,,,,SA4858-C50998,,Gres,Frío,Gasoil,1,N/A,Privado,,,,Cocina americana,,N/A,,,,,,,1.221 m²,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en calle de los Sevillanos,Alfa Key West,1.614 €/m²,487.500 €,302 m²,https://www.pisos.com/comprar/casa_unifamiliar-sevilla_la_nueva_centro_urbano-50061605618_101000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,302 m²,,5,3,,,,AF169-2131/171,Más de 2,,Frío,,,28,,N/A,Unifamiliar,,,N/A,N/A,Sudeste,,,,,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en calle del Carril del Rodeo,Alfa Key West,1.950 €/m²,550.000 €,282 m²,https://www.pisos.com/comprar/casa_unifamiliar-sevilla_la_nueva_centro_urbano-50092789141_101000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,282 m²,,3,2,,,,AF169-2131/169,Más de 2,,Frío,,,90,,,Unifamiliar,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en El Álamo,ALFA SIERRA NORTE,2.012 €/m²,161.000 €,80 m²,https://www.pisos.com/comprar/piso-el_alamo_centro_urbano-50869813042_101000/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,80 m²,62 m²,3,1,,,,AF189-2216/66,,,,,,10,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de Somosierra,  s/n",BROSH,1.911 €/m²,414.900 €,217 m²,https://www.pisos.com/comprar/casa_adosada-navalcarnero_centro_urbano-3888297778_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,217 m²,,4,3,,A estrenar,,4525022-20466164,,,,,N/A,N/A,Privado,,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en El Álamo,TU HOGAR EN PANGEA,2.012 €/m²,161.000 €,80 m²,https://www.pisos.com/comprar/piso-el_alamo_centro_urbano-47540949973_108500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",madrid_suroeste,80 m²,75 m²,3,1,,,,AG571-855VP,,Gres,,,,,,,,,Individual,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de los Alfares,GESPAIN ALUCHE CAMPAMENTO,2.957 €/m²,215.900 €,73 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-51715848001_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,73 m²,,3,1,Más de 50 años,,,SA4191-p901/690,,,,,,N/A,,,,,,N/A,,Este,1ª,,,,,,N/A,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en calle de los Pinos Verdes,BAUPRES,559 €/m²,270.000 €,483 m²,https://www.pisos.com/comprar/chalet_unifamiliar-pelayos_de_la_presa_centro_urbano-43390010855_510067/,Anuncio actualizado el 21/01/2025,"G, G","G, G",madrid_suroeste,483 m²,215 m²,6,2,Más de 50 años,En buen estado,,4510067-PRO331,Más de 2,,,,2,N/A,Privado,Propia,,,,,,Sur,,,,,,970 m²,,N/A,,,,,,,,,,,,,,,,,
"Casa adosada en calle de María Moliner, 44",HIJES GRUPO INMOBILIARIO,2.184 €/m²,509.000 €,233 m²,https://www.pisos.com/comprar/casa_adosada-mostoles_oeste28935-4591198283_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,233 m²,,3,3,,A estrenar,,4994518-21305831,Más de 2,,,,N/A,N/A,Privado,,Adosada,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Campodón,FLIMASA,3.046 €/m²,780.000 €,256 m²,https://www.pisos.com/comprar/chalet-parque_oeste_fuente_cisneros_campodon-50071997111_100500/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,256 m²,,4,3,,En buen estado,,SA4858-C501214,1,Gres,,Gasoil,,,Privado,Propia,,,Cocina amueblada,,N/A,,,,,,,1.100 m²,,,,,,,,,,,,,,,,,,,
"Chalet en Avenida de Juan Carlos I, 32",EL FRESNO GESTION INMOBILIARIA,1.689 €/m²,250.000 €,148 m²,https://www.pisos.com/comprar/chalet-villa_del_prado_centro_urbano-49212114966_101800/,Anuncio actualizado el 20/02/2025,"F, E","F, E",madrid_suroeste,148 m²,,3,2,Entre 30 y 50 años,,,IF77096-1-1530,1,,,,,N/A,Privado,,,,,,N/A,,,,,,,480 m²,,,,,,,,,,,,,,,,,,,
Piso en calle de la Princesa,IJ INMOBILIARIA,2.305 €/m²,196.000 €,85 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-48412729379_516127/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,85 m²,80 m²,3,1,,En buen estado,Entre 40 y 60 €,4516127-000537,1,,,Gas natural,,N/A,,,,,N/A,N/A,,,3ª,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,
Piso en Centro,"ESTUDIO MOSTOLES CENTRO 2014, S.L.U.",2.822 €/m²,214.500 €,76 m²,https://www.pisos.com/comprar/piso-mostoles_centro28938-50083762279_100200/,Anuncio actualizado el 06/02/2025,"F, F","F, F",madrid_suroeste,76 m²,,3,1,Entre 30 y 50 años,Reformado,,TC429-584779,,,,N/A,,N/A,Comunitario,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Dúplex en Avenida de la Unión Europea,ARROYO HOUSE INMOBILIARIA,2.318 €/m²,269.000 €,116 m²,https://www.pisos.com/comprar/duplex-zona_bulevar-51699187334_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,116 m²,,,1,Entre 10 y 20 años,,,IF5854-LOFT DUPLEX BULEVAR,1,,,Central,1,N/A,,Comunitaria,,,N/A,N/A,N/A,,,,,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,
Piso en calle del Camino de Leganés,VIVIENDAS Y PROYECTOS ARQ.,2.352 €/m²,200.000 €,85 m²,https://www.pisos.com/comprar/piso-sur_este28937-50914874467_525049/,Anuncio actualizado el 16/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,85 m²,80 m²,3,1,Entre 30 y 50 años,Reformado,Entre 40 y 60 €,4525049-#Camleg,Más de 2,Parquet,Frío,Gas natural,,N/A,Comunitario,,,N/A,N/A,N/A,,Noreste,1ª,N/A,Aluminio,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
Casa pareada en calle de la Sierra de Gredos,ARROYO HOUSE INMOBILIARIA,1.886 €/m²,698.000 €,370 m²,https://www.pisos.com/comprar/casa_pareada-zona_de_las_carcavas_arroyo_del_bosque-51751427559_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,370 m²,,4,,Entre 10 y 20 años,,,IF5854-CHALET LAS CAMELIAS,1,,,Central,1,N/A,Privado,Comunitaria,Pareada,,N/A,N/A,N/A,,,,,,,450 m²,,,,,,,,,,,,,,,,,,,
Piso en Navalcarnero,Estudio Ciudad De Navalcarnero Sl,3.419 €/m²,259.900 €,76 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-51699940646_100200/,Anuncio actualizado el 19/02/2025,"E, E","E, E",madrid_suroeste,76 m²,,3,2,Entre 10 y 20 años,En buen estado,,TC1137-609054,,,N/A,N/A,1,N/A,Comunitario,Comunitaria,,,N/A,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,,,,,
Chalet en calle Perdiz,GESPAIN ALUCHE CAMPAMENTO,2.156 €/m²,690.000 €,320 m²,https://www.pisos.com/comprar/chalet-navalcarnero_centro_urbano-47563173105_100500/,Anuncio actualizado el 29/11/2024,"C, C","C, C",madrid_suroeste,320 m²,220 m²,5,3,Menos de 5 años,,,SA4191-P876/690,1,,N/A,N/A,,,N/A,Propia,,,,N/A,,Sureste,,,,,,,,,N/A,,,,,,,,,,,,,,,,
"Piso en calle San Andrés. Esq C/ Labrador,  S/N",GESBRO,1.982 €/m²,204.164 €,103 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-4736960359_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,103 m²,,3,2,,A estrenar,,4525023-0,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Oeste,Estudio Hospital Metro Slu,2.720 €/m²,185.000 €,68 m²,https://www.pisos.com/comprar/piso-mostoles_oeste28934-50913495291_100200/,Anuncio actualizado el 20/02/2025,"G, G","G, G",madrid_suroeste,68 m²,,3,1,Más de 50 años,En buen estado,,TC1018-606277,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en calle de los Mártires,HM INMOBILIARIA,2.012 €/m²,161.000 €,80 m²,https://www.pisos.com/comprar/piso-el_alamo_centro_urbano-48382319679_528352/,Anuncio actualizado el 05/02/2025,"G, G","G, G",madrid_suroeste,80 m²,65 m²,3,1,,En buen estado,,4528352-8353,,Gres,,Eléctrica,,N/A,,,,,N/A,N/A,,Sur,2ª,N/A,Aluminio,,,,,,N/A,,,,,,,,N/A,,,,,,,,
Chalet en Avenida del Dos de Mayo,Open Doors,1.400 €/m²,280.000 €,200 m²,https://www.pisos.com/comprar/chalet-sevilla_la_nueva_centro_urbano-50005055904_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,200 m²,198 m²,4,4,,En buen estado,,SA5552-106722119,,,,,,N/A,,,,,,,,Sur,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet unifamiliar en calle de Santa Gema, 1",DEKAGONO,1.511 €/m²,340.000 €,225 m²,https://www.pisos.com/comprar/chalet_unifamiliar-coimbra_guadarrama-50931922150_522799/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,225 m²,113 m²,4,3,Menos de 5 años,A estrenar,,4522799-SANTA GEMA,Más de 2,Porcelanico,,Geotermia,1,,Privado,,,N/A,N/A,N/A,,,,,PVC,,N/A,,,,N/A,,,,N/A,,N/A,,,N/A,N/A,N/A,N/A,,,,
Chalet en Cadalso de los Vidrios,"INMOBILIARIA ""CARVALLO""",1.058 €/m²,199.999 €,189 m²,https://www.pisos.com/comprar/chalet-cadalso_de_los_vidrios_centro_urbano-35887193268_106700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,189 m²,,4,2,Entre 20 y 30 años,,,IFC76134-XAL_321,,,,,,,,,,,,,,,,,,,,891 m²,,,,,,,,,,,,,,,,,,,
