nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Tipo suelo,Calefacción,Cocina equipada,Comedor,Lavadero,Orientación,No se aceptan mascotas,Armarios empotrados,Vidrios dobles,Carpintería exterior,Teléfono,Aire acondicionado,Chimenea,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Jardín,Piscina,Soleado,Agua,Balcón,Amueblado,Carpintería interior,Se aceptan mascotas,Interior,Gastos de comunidad,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar
"Estudio en calle de San Florencio, 5",FOR YOU RENTALS,28 €/m²,1.150 €,40 m²,28079,https://www.pisos.com/alquilar/estudio-numancia28038-39198640641_527206/,2025-02-20,"B, B","B, B",40 m²,40 m²,1,1,Bajo,N/A,Más de 50 años,Reformado,4527206-SFL5,Parquet,Eléctrica,Equipada,N/A,Lavadora,Oeste,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle del Terral,INMOBARALIA,14 €/m²,1.900 €/mes,127 m²,28115,https://www.pisos.com/alquilar/piso-prado_de_somosaguas-50930099111_280500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,127 m²,96 m²,2,2,2ª,N/A,Entre 10 y 20 años,En buen estado,2805-002420,Tarima flotante,Central,N/A,,,Sur,N/A,Más de 2,N/A,Aluminio,N/A,Frío,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Comunitario,Comunitaria,N/A,,,,,,,,,,,,,,
"Piso en calle de Lope de Vega, 4",GINGER REAL ESTATE,15 €/m²,2.250 €/mes,144 m²,28115,https://www.pisos.com/alquilar/piso-pueblo28223-50921400111_100500/,2025-02-17,"E, E","E, E",144 m²,135 m²,3,3,Bajo,,Entre 30 y 50 años,,SA5783-YOLAG001/11932,Parquet,Central,,N/A,,Este,,1,,,,,,,,,N/A,,N/A,,N/A,N/A,Comunitaria,,N/A,N/A,,,,,,,,,,,,
Piso en calle de la Luna,WALTER HAUS CHAMBERI,35 €/m²,4.900 €/mes,140 m²,28079,https://www.pisos.com/alquilar/piso-universidad_malasana28004-50033817746_101800/,2025-02-20,"E, E","E, E",140 m²,,4,2,2ª,,,,IF76602-M20621A,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en calle Luis Garcia Cereceda,INMOBARALIA,22 €/m²,8.500 €/mes,378 m²,28115,https://www.pisos.com/alquilar/piso-la_finca-49178402159_280500/,2025-02-20,"A, A","A, A",378 m²,188 m²,3,3,Bajo,N/A,Menos de 5 años,En buen estado,2805-002412,Mármol,Suelo radiante,N/A,N/A,N/A,Sur,,Más de 2,N/A,Aluminio,N/A,Suelo refrescante,,Más de 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Privado,Propia,N/A,,,Todo lo necesario para vivir cómodamente,N/A,,,,,,,,,,
"Apartamento en calle de Garellano, 3",FOR YOU RENTALS,39 €/m²,2.300 €,58 m²,28079,https://www.pisos.com/alquilar/apartamento-bellas_vistas28039-39173847142_527206/,2025-02-20,"B, B","B, B",58 m²,58 m²,2,1,1ª,N/A,Más de 50 años,Reformado,4527206-GRL3,Parquet,Gas natural,Americana,N/A,Lavadora,Oeste,,2,,,,Frío,,,,,,,,,,,,,,N/A,N/A,,N/A,,,,,,,,,
Piso en calle Lagasca,INMOBOULEVARD,41 €/m²,3.800 €/mes,92 m²,28079,https://www.pisos.com/alquilar/piso-salamanca_castellana28006-51757571258_996152/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,92 m²,87 m²,2,2,7ª,N/A,Más de 50 años,En buen estado,4996152-PKR43583,,Individual,,,,Este,,,,,,Frío y calor,,,,N/A,,,N/A,,,,,,,N/A,N/A,,,,,,,,,,,
Piso en calle del Almirante,WALTER HAUS CHAMBERI,22 €/m²,4.800 €/mes,214 m²,28079,https://www.pisos.com/alquilar/piso-justicia_chueca28004-50034842182_101800/,2025-02-20,"G, E","G, E",214 m²,,3,2,4ª,,,,IF76602-M20623A,,Central,N/A,,,,,1,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,
Piso en calle de Ilustración,WALTER HAUS CHAMBERI,32 €/m²,2.500 €/mes,78 m²,28079,https://www.pisos.com/alquilar/piso-moncloa_aravaca_arguelles28008-50047531885_101800/,2025-02-20,"E, E","E, E",78 m²,,2,2,1ª,,,,IF76602-M20622A,,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Estudio en calle de Zurbano,Personal Shopper,25 €/m²,1.200 €/mes,48 m²,28079,https://www.pisos.com/alquilar/estudio-chamberi_almagro28010-42500841809_522531/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,48 m²,45 m²,1,1,Principal,,,En buen estado,4522531-000035,Tarima flotante,,N/A,,,Noreste,,1,,Aluminio,,,,,,lunes a domingo,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,
