luz,jardin,sistema_de_seguridad,conservacion,vidrios_dobles,se_aceptan_mascotas,timestamp,carpinteria_interior,calefaccion,trastero,href,calle_asfaltada,tipo_de_casa,cocina_equipada,agua,emisiones,aire_acondicionado,terraza,armarios_empotrados,actualizacion,superficie,balcon,gastos_de_comunidad,urbanizado,superficie_construida,garaje,consumo,puerta_blindada,adaptado_a_personas_con_movilidad_reducida,identificador,ascensor,superficie_util,nombre,alcantarillado,planta,baños,portero_automatico,exterior,soleado,piscina,calle_alumbrada,precio_m2,precio,lavadero,orientacion,amueblado,interior,habitaciones,gas,tipo_suelo,carpinteria_exterior,superficie_solar,comedor,antiguedad,codigo_postal,ubicacion,agencia,chimenea,telefono
,Si,Si,En buen estado,Si,,2025-02-21 11:54:11,,Si,,https://www.pisos.com/alquilar/piso-urbanizacion_de_roquetas_las_marinas04740-33340257518_100500/,,,Si,,"D, C",Si,Si,Si,2025-02-21,90.0,,,,90.0,,"D, C",,Si,33340257518_100500,Si,75.0,Piso en Carretera de Ciudad de Cádiz,,1.0,1.0,,Si,Si,Si,,13.0,1250.0,Si,SUR,Si,,2.0,,Si,,,,,47400.0,roquetas_de_mar,FARO INMOBILIARIA,,
,Si,Si,En buen estado,Si,,2025-02-21 11:54:11,,Si,,https://www.pisos.com/alquilar/apartamento-urbanizacion_de_roquetas_las_marinas04740-50886757575_100500/,,,Si,,"C, C",Si,Si,Si,2025-02-21,90.0,,,,90.0,Si,"C, C",,,50886757575_100500,Si,75.0,Apartamento en Carretera de Ciudad de Cádiz,,3.0,1.0,,Si,,Si,,8.0,750.0,Si,ESTE,Si,,2.0,,Si,,,,Entre 20 y 30 años,47400.0,roquetas_de_mar,FARO INMOBILIARIA,,
,Si,,Reformado,Si,No,2025-02-21 11:54:12,,,,https://www.pisos.com/alquilar/apartamento-aguadulce_norte-51683300341_529013/,,,,,"G, G",Si,Si,Si,2025-02-06,79.0,,,,79.0,Si,"G, G",,,51683300341_529013,,64.0,Apartamento en calle de Texas,,2.0,1.0,,Si,,Si,,8.0,650.0,,ESTE,Si,,2.0,,Si,Si,,,Entre 20 y 30 años,,roquetas_de_mar,PATRICIA VALDES ASESORA INMOBILIARIA,,
,,,En buen estado,,,2025-02-21 11:54:57,Si,Si,,https://www.pisos.com/alquilar/atico-puerto_vera_las_salinas04621-47517244975_513000/,,,Si,,Error al procesar emisiones,Si,Si,Si,2025-02-11,75.0,,,,75.0,Si,Error al procesar consumo,,,47517244975_513000,,65.0,Ático en Avenida Medina Azahara,,2.0,2.0,,Si,Si,Si,,7.0,550.0,Si,OESTE,Si,,2.0,,,Si,,Si,,46210.0,vera,"Parrosol, S.L",,
,Si,Si,En buen estado,Si,,2025-02-21 11:55:07,Si,Si,,https://www.pisos.com/alquilar/chalet_unifamiliar-casco_urbano04620-50856390998_519306/,Si,,Si,,Error al procesar emisiones,,Si,Si,2025-02-20,1000.0,,,Si,1000.0,Si,Error al procesar consumo,Si,,50856390998_519306,,970.0,Chalet unifamiliar en Casco Urbano,,,4.0,,,,Si,Si,2.0,2115.0,Si,SIN ESPECIFICAR,Si,,7.0,,,,1130.0,Si,Entre 5 y 10 años,46200.0,vera,SPAIN REALTY ESTATE,,
,Si,,En buen estado,,No,2025-02-21 11:55:08,,,,https://www.pisos.com/alquilar/apartamento-casco_urbano-35018048379_526695/,,,Si,,Error al procesar emisiones,Si,Si,,2025-02-14,68.0,,,,68.0,Si,Error al procesar consumo,,,35018048379_526695,Si,68.0,Apartamento en Urbanización Vera Playa,,1.0,1.0,,Si,,Si,,2.0,138.0,,SIN ESPECIFICAR,Si,,2.0,,,,,Si,,,vera,CONALQUILER.COM,,
,,,En buen estado,,,2025-02-21 11:55:14,,,,https://www.pisos.com/alquilar/atico-el_calon-5902921560_109300/,,,,,Error al procesar emisiones,,,,2025-01-28,60.0,,,,60.0,Si,Error al procesar consumo,,,5902921560_109300,,60.0,Ático en El Calón,,1.0,1.0,,,,Si,,,43.0,,ESTE,,,2.0,,,,,,Entre 10 y 20 años,,vera,GRUPO PLATINUM ESTATES,,
,Si,,En buen estado,,No,2025-02-21 11:55:19,,,,https://www.pisos.com/alquilar/chalet-mogarizas_las_rapaces-47502779453_528856/,Si,,Si,,Error al procesar emisiones,,,Si,2024-09-20,90.0,,,,90.0,,Error al procesar consumo,,,47502779453_528856,,60.0,Chalet en Mogarizas-Las Rapaces,,,1.0,,,,Si,,6.0,600.0,,NOROESTE,Si,,2.0,,Si,Si,,Si,Menos de 5 años,,chiclana_de_la_frontera,Inmogestion MV,,
,Si,Si,En buen estado,Si,,2025-02-21 11:55:35,Si,Si,,https://www.pisos.com/alquilar/chalet_adosado-nucleo_urbano_urbanizaciones-50883275252_519306/,Si,,Si,,Error al procesar emisiones,Si,Si,Si,2025-02-20,400.0,,,Si,400.0,Si,Error al procesar consumo,Si,,50883275252_519306,,320.0,Chalet adosado en Núcleo Urbano-Urbanizaciones,,,3.0,,,,Si,Si,4.0,1760.0,,SIN ESPECIFICAR,Si,,5.0,,,,,Si,Entre 5 y 10 años,,chiclana_de_la_frontera,SPAIN REALTY ESTATE,,
,Si,Si,En buen estado,Si,,2025-02-21 11:55:38,Si,Si,,https://www.pisos.com/alquilar/chalet_unifamiliar-la_soledad_la_coquina_los_gallos-50872681561_519306/,Si,,Si,,Error al procesar emisiones,,Si,Si,2025-02-20,1000.0,,,Si,1000.0,Si,Error al procesar consumo,Si,,50872681561_519306,,910.0,Chalet unifamiliar en La Soledad-La Coquina-Los Gallos,,,3.0,,,,Si,Si,2.0,2250.0,,SIN ESPECIFICAR,Si,,3.0,,,,1060.0,Si,Entre 5 y 10 años,,chiclana_de_la_frontera,SPAIN REALTY ESTATE,,
