nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Teléfono,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Lavadero,Garaje,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Adaptado a personas con movilidad reducida,Balcón,Terraza,Jardín,Piscina,Orientación,Soleado,No se aceptan mascotas,Amueblado,Trastero,Superficie solar,Se aceptan mascotas,Chimenea,Gastos de comunidad,Agua,Gas,Luz,Interior,Urbanizado,Calle alumbrada,Calle asfaltada,Tipo de casa
Piso en Vallpineda-Santa Bàrbara,"Finques Parellades, su inmobiliaria en Sitges",26 €/m²,1.750 €/mes,67 m²,https://www.pisos.com/alquilar/piso-vallpineda_santa_barbara-50053355797_134500/,Anuncio actualizado el 20/02/2025,"C, B","C, B",barcelona,67 m²,67 m²,2,2,2ª,N/A,Menos de 5 años,A estrenar,1345-009417,Más de 2,N/A,Parquet,N/A,Aluminio,N/A,Frío y calor,Central,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,70 m²,Comunitario,Comunitaria,Oeste,N/A,N/A,,,,,,,,,,,,,,
Piso en Carrer de la Mercè,MARCOVE,31 €/m²,2.000 €/mes,63 m²,https://www.pisos.com/alquilar/piso-el_barri_gotic08002-42511654741_108900/,Anuncio actualizado el 19/02/2025,"G, E","G, E",barcelona,63 m²,54 m²,2,1,4ª,N/A,,,XA755-500,,,,,,,N/A,N/A,,,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer de la Princesa,WALTER HAUS,30 €/m²,1.700 €/mes,55 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-48422293763_101800/,Anuncio actualizado el 20/02/2025,"F, E","F, E",barcelona,55 m²,,1,1,2ª,,,,IF7349-4963,1,,,,,,,Central,N/A,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
Apartamento en Llevantina-Montgavina-Quint-Mar-Garraf,Durán Carasso,24 €/m²,2.900 €/mes,119 m²,https://www.pisos.com/alquilar/apartamento-llevantina_montgavina_quint_mar_garraf08870-45037115844_105600/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,119 m²,,3,2,,,,,BM201-1807A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
"Piso en Passeig de la Zona Franca, 215",VIVIENDA SINGULAR,15 €/m²,1.800 €/mes,114 m²,https://www.pisos.com/alquilar/piso-la_marina_del_port_parc_de_montjuic08038-51754864808_525696/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,114 m²,100 m²,4,2,4ª,N/A,Entre 10 y 20 años,En buen estado,4525696-AV086VSE,2,,,N/A,Aluminio,,Frío y calor,Eléctrica,Office,Living,,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Comunitario,Comunitaria,Sureste,N/A,N/A,,N/A,,,,,,,,,,,,
Chalet en Alella,GP CASA VILASSAR,16 €/m²,8.000 €/mes,500 m²,https://www.pisos.com/alquilar/chalet-alella_centro_urbano-50057032909_517277/,Anuncio actualizado el 23/01/2025,"D, D","D, D",barcelona,500 m²,400 m²,5,4,,,Entre 30 y 50 años,En buen estado,4517277-GP830,,,Gres,N/A,Aluminio,,,,,,,,,,,,,,,Privado,Propia,Sureste,,,Solo el salón comedor,,2.000 m²,,,,,,,,,,,
Casa en Mira-sol,"FELIU FRANQUESA, S.L.",10 €/m²,4.500 €/mes,445 m²,https://www.pisos.com/alquilar/casa-sant_cugat_del_valles_mira_sol08197-45012796270_101300/,Anuncio actualizado el 19/12/2024,"E, E","E, E",barcelona,445 m²,232 m²,5,4,,,Entre 10 y 20 años,,API277-3492,,,,,,,,N/A,,,N/A,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,
Piso en Carrer dels Flassaders,Ukio,31 €/m²,2.210 €/mes,70 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-40836613463_100500/,Anuncio actualizado el 18/02/2025,"C, C","C, C",barcelona,70 m²,,2,1,4ª,N/A,,En buen estado,SA5112-ANFA,1,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer del Rosari,PISOS PLAZA,14 €/m²,5.000 €/mes,350 m²,https://www.pisos.com/alquilar/piso-les_tres_torres08017-46673944542_993573/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,350 m²,310 m²,5,3,4ª,N/A,,En buen estado,4993573-ROSARI,,,,,,,Frío y calor,Gas natural,,,,2,N/A,,N/A,N/A,,,N/A,Privado,Propia,,N/A,N/A,,,,,N/A,,,,,,,,,
Piso en Carrer de Rocafort,Ukio,35 €/m²,2.025 €/mes,57 m²,https://www.pisos.com/alquilar/piso-la_nova_esquerra_de_eixample08015-40917736582_100500/,Anuncio actualizado el 13/02/2025,"E, E","E, E",barcelona,57 m²,,2,1,3ª,N/A,,En buen estado,SA5112-VEDUTO,1,,,,,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,
