nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Referencia,Terraza,Jardín,Piscina,Planta,Exterior,Conservación,Gastos de comunidad,Tipo suelo,Aire acondicionado,Calefacción,Cocina equipada,Ascensor,Balcón,Orientación,Agua,Chimenea,Comedor,Garaje,Urbanizado,Puerta blindada,Trastero,Carpintería interior,Vidrios dobles,Carpintería exterior,Portero automático,Sistema de seguridad,Gas,Teléfono,Adaptado a personas con movilidad reducida,Soleado,Lavadero,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Armarios empotrados,Tipo de casa,No se aceptan mascotas,Interior,Amueblado,Luz
"Chalet en Carrer de la Muntanya del Papiol, nº .",IAD,1.081 €/m²,449.950 €,416 m²,https://www.pisos.com/comprar/chalet-olerdola_centro_urbano-42502664381_108700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),416 m²,416 m²,655 m²,5,2,Entre 20 y 30 años,UVC793-24188,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer del Turró, 3",UN SOMNI X M2,1.876 €/m²,127.600 €,68 m²,https://www.pisos.com/comprar/piso-sant_pere_de_riudebitlles_centro_urbano-48366994184_103800/,Anuncio actualizado el 17/12/2024,"E, E","E, E",alt_penedes (BCN),68 m²,49 m²,,2,1,,INB577-Riu,N/A,,,1ª,N/A,En buen estado,Entre 60 y 80 €,Gres,N/A,Central,N/A,N/A,N/A,Oeste,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Carrer de la Coral,Flamat Barcelona,1.560 €/m²,195.000 €,125 m²,https://www.pisos.com/comprar/chalet-torrelles_de_foix_centro_urbano-50064802945_100500/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),125 m²,,714 m²,3,2,,SA5673-EN-CANCORAL,,,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Centre Vila,Durán Carasso,2.777 €/m²,1.000.000 €,360 m²,https://www.pisos.com/comprar/casa-centre_vila-50007529562_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),360 m²,,3.422 m²,6,2,,BM201-5774,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en La Font del Bosc,MACROFINCAS S.L,824 €/m²,160.000 €,194 m²,https://www.pisos.com/comprar/casa-mediona_centro_urbano-39258282091_100500/,Anuncio actualizado el 18/02/2025,"G, G","G, G",alt_penedes (BCN),194 m²,171 m²,830 m²,3,2,Entre 20 y 30 años,SA565-MCB3393UC/1454,N/A,N/A,,,,,,Gres,,,,,,,N/A,N/A,N/A,1,N/A,,,,,,,,,,,,,,,,,,,,,
Chalet en Valldemar,FILA INMOBILIARIA SEGUR DE CALAFELL,1.004 €/m²,240.000 €,239 m²,https://www.pisos.com/comprar/chalet-castellet_i_la_gornal_centro_urbano-51756936694_100500/,Anuncio actualizado el 17/02/2025,"D, D","D, D",alt_penedes (BCN),239 m²,200 m²,676 m²,4,2,Entre 30 y 50 años,SA4156-0060-26/8626,N/A,N/A,Propia,,,,,Terrazo,,Eléctrica,,,,Sur,N/A,N/A,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
Piso en Passatge de la Ciutadella,Finques Pardas,2.912 €/m²,227.200 €,78 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-38415524887_513967/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),78 m²,67 m²,,3,2,,513967-P4-008,,,,1ª,N/A,A estrenar,,Parquet,,N/A,N/A,N/A,,,,,N/A,,,,,N/A,N/A,Aluminio,N/A,N/A,,,,,,,,,,,,,,
Piso en Carrer Sant Quinti,Finques Pardas,3.294 €/m²,112.000 €,34 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-77597516239_513967/,Anuncio actualizado el 20/02/2025,"E, E","E, E",alt_penedes (BCN),34 m²,30 m²,,1,1,,513967-P-168,,,,2ª,N/A,En buen estado,,Gres,,Central,N/A,N/A,N/A,,,,N/A,,,,,,N/A,Aluminio,N/A,,N/A,N/A,N/A,N/A,,,,,,,,,,
Piso en Passatge de la Ciutadella,Finques Pardas,2.895 €/m²,231.600 €,80 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-38351567070_513967/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),80 m²,68 m²,,3,2,,513967-P4-009,N/A,,,2ª,N/A,A estrenar,,Parquet,,N/A,N/A,N/A,N/A,,,,N/A,,,,,N/A,N/A,Aluminio,N/A,N/A,,,,N/A,,,,,,,,,,
Piso en Sant Julià,FINQUES SIP,1.119 €/m²,235.000 €,210 m²,https://www.pisos.com/comprar/piso-sant_julia-50901042340_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),210 m²,65 m²,,3,2,Más de 50 años,SA5343-10049/9669,N/A,N/A,,1ª,,,,,,Gas natural,,,,Sur,N/A,N/A,,1,,,,,,,,,,,,,,,,,,,,,,
