nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Tipo suelo,Carpintería exterior,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Puerta blindada,Superficie solar,Agua,Terraza,Jardín,Piscina,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Garaje,Trastero,Sistema de seguridad,Tipo de casa,Gastos de comunidad,Amueblado,Armarios empotrados,Chimenea,Teléfono,Ascensor,Carpintería interior,Vidrios dobles,Gas,Lavadero,Portero automático,Soleado,Se aceptan mascotas,Balcón,Interior,Adaptado a personas con movilidad reducida,Luz
Estudio en Carrer Major,FINCAS LARPE,1.396 €/m²,74.000 €,53 m²,https://www.pisos.com/comprar/estudio-masquefa_centro_urbano-50024895876_500732/,Anuncio actualizado el 20/02/2025,"G, E","G, E",anoia (BCN),53 m²,44 m²,1,1,Bajo,N/A,Entre 10 y 20 años,A reformar,500732-01021,Parquet,Aluminio,Frío y calor,Eléctrica,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer Major,Bufet Immobiliari,1.396 €/m²,74.000 €,53 m²,https://www.pisos.com/comprar/piso-masquefa_centro_urbano-48384364754_522254/,Anuncio actualizado el 20/01/2025,"G, E","G, E",anoia (BCN),53 m²,42 m²,1,1,Bajo,N/A,Entre 10 y 20 años,A reformar,522254-SBS61,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Área de Piera,habitat Catalunya,1.451 €/m²,347.000 €,239 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-49215353523_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),239 m²,215 m²,5,2,,,Entre 20 y 30 años,,SA828-01109/3799,Gres,,,Gas natural,,,,544 m²,N/A,N/A,N/A,N/A,Noroeste,N/A,,,,,,,,,,,,,,,,,,,,,,,
Casa en Can Canals,FINCAS LARPE,1.901 €/m²,135.000 €,71 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-48408622857_500732/,Anuncio actualizado el 20/02/2025,"G, G","G, G",anoia (BCN),71 m²,50 m²,2,1,,,Entre 30 y 50 años,A reformar,500732-01011,Terrazo,Madera,,,A reformar,,,527 m²,,,Privado,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Chalet en Piera,IMPEMA,1.321 €/m²,300.000 €,227 m²,https://www.pisos.com/comprar/chalet-piera_centro_urbano-51690888828_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),227 m²,,4,2,,,,,EP731-1381,,,,,,,,,N/A,N/A,,Propia,,,,,1,N/A,N/A,,,,,,,,,,,,,,,,,,
Casa adosada en Masquefa,IMPEMA,1.683 €/m²,335.000 €,199 m²,https://www.pisos.com/comprar/casa_adosada-masquefa_centro_urbano-50015900244_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),199 m²,,4,2,,,,,EP731-1379,,,,,N/A,,,,N/A,N/A,,,,,,,Más de 2,N/A,,Adosada,Entre 40 y 60 €,N/A,,,,,,,,,,,,,,,
Casa en Piera,habitat Catalunya,1.325 €/m²,372.600 €,281 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-47577994601_100500/,Anuncio actualizado el 20/02/2025,"G, F","G, F",anoia (BCN),281 m²,262 m²,5,3,,,Entre 30 y 50 años,,SA828-01091/3799,Gres,,,,,,,1.899 m²,,N/A,N/A,,,N/A,,,1,N/A,,,,,1,N/A,,,,,,,,,,,,,
Chalet en Anoia,Carles Juanico,1.208 €/m²,249.000 €,206 m²,https://www.pisos.com/comprar/chalet-vallbona_anoia_centro_urbano-47512152096_108700/,Anuncio actualizado el 12/02/2025,"E, E","E, E",anoia (BCN),206 m²,206 m²,3,2,,,Entre 10 y 20 años,,UVC168-28455,,,N/A,N/A,,,,75 m²,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Passeig del Mossèn Jacint Verdaguer,finques igualada,3.088 €/m²,315.000 €,102 m²,https://www.pisos.com/comprar/piso-igualada_centre-45055296187_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),102 m²,85 m²,3,1,Bajo,,Entre 20 y 30 años,,SA1184-D28624/2067,,,N/A,Gas natural,,,N/A,,N/A,N/A,N/A,,Sureste,,,,,N/A,,,Entre 60 y 80 €,,1,,N/A,N/A,,,,,,,,,,,
Piso en Carrer de Joan Miró,Fincas Redondo,1.551 €/m²,152.000 €,98 m²,https://www.pisos.com/comprar/piso-masquefa_centro_urbano-50023282580_995272/,Anuncio actualizado el 20/02/2025,"E, E","E, E",anoia (BCN),98 m²,89 m²,3,2,Entresuelo,N/A,Entre 10 y 20 años,En buen estado,4995272-26-2024,Terrazo,PVC,Frío y calor,Gas natural,Amplia,Independiente,N/A,,,,Comunitario,Comunitaria,Norte,,,,,,,,Entre 20 y 40 €,,,,,,Roble,Doble puente térmico,Natural,N/A,N/A,N/A,N/A,,,,
