nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie solar,Baños,Antigüedad,Referencia,Superficie útil,Habitaciones,Planta,Armarios empotrados,Tipo suelo,Aire acondicionado,Calefacción,Comedor,Ascensor,Terraza,Agua,Puerta blindada,Jardín,Cocina equipada,Lavadero,Orientación,Exterior,Conservación,Gastos de comunidad,Carpintería interior,Carpintería exterior,Portero automático,Adaptado a personas con movilidad reducida,Balcón,Soleado,Se aceptan mascotas,Amueblado,Tipo de casa,Garaje,Sistema de seguridad,Piscina,Chimenea,Vidrios dobles,Gas,Trastero,Teléfono,Interior,Urbanizado,Calle alumbrada,Calle asfaltada
Casa en Pep Ventura,PARELLADA IMMOBILIÀRIA,2.227 €/m²,490.000 €,220 m²,https://www.pisos.com/comprar/casa-gorg_progres_pep_ventura08912-48374325539_100500/,Anuncio actualizado el 16/10/2024,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),220 m²,210 m²,12,Más de 50 años,SA5410-2707/11637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Centro,PARELLADA IMMOBILIÀRIA,6.470 €/m²,660.000 €,102 m²,https://www.pisos.com/comprar/atico-badalona_centre08911-49192438249_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),102 m²,,2,Menos de 5 años,SA5410-2909/11637,96 m²,3,3ª,1,Tarima flotante,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Carrer de Rubió i Ors,PARELLADA IMMOBILIÀRIA,4.100 €/m²,410.000 €,100 m²,https://www.pisos.com/comprar/chalet-bonavista_bufala08915-45032974035_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),100 m²,150 m²,2,Menos de 5 años,SA5410-2345/11637,90 m²,3,,,Parquet,N/A,N/A,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda d'Alfons XIII,JJFINQUES BADALONA,2.312 €/m²,185.000 €,80 m²,https://www.pisos.com/comprar/piso-gorg_progres_pep_ventura08918-47559881103_101800/,Anuncio actualizado el 20/02/2025,"E, E","E, E",badalona (BCN),80 m²,,1,Más de 50 años,IF76353-F09,,3,6ª,,,,,,N/A,,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Carrer de Mozart,JJFINQUES BADALONA,2.237 €/m²,179.000 €,80 m²,https://www.pisos.com/comprar/atico-montigala_sant_crist08917-50065663930_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),80 m²,,1,Más de 50 años,IF76353-F31,,3,,,,,Central,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda dels Vents,Sarria Properties,2.774 €/m²,369.000 €,133 m²,https://www.pisos.com/comprar/piso-montigala_sant_crist08917-49175503830_100500/,Anuncio actualizado el 27/01/2025,"C, C","C, C",badalona (BCN),133 m²,,2,Entre 20 y 30 años,SA3248-SP946/8414,100 m²,3,3ª,,Parquet,,N/A,,N/A,N/A,,,,,,Norte,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Víctor Balaguer,ASIFRAN-GROUP,3.116 €/m²,186.995 €,60 m²,https://www.pisos.com/comprar/piso-la_salut_lloreda_sistrells08914-47533454681_500186/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),60 m²,,1,Entre 30 y 50 años,500186-02-03LS1039,56 m²,3,Más de 20,,Gres,,,Exterior con salida a balcon,N/A,,,N/A,,Amplia y moderna,Patio,,N/A,Reformado,43,Embero,Aluminio,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,
Piso en La Salut-Lloreda-Sistrells,JJFINQUES BADALONA,2.336 €/m²,243.000 €,104 m²,https://www.pisos.com/comprar/piso-la_salut_lloreda_sistrells08914-50908142863_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),104 m²,,1,Entre 30 y 50 años,IF76353-F33,,3,5ª,,,,,,N/A,,,N/A,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,
"Casa adosada en Carrer de Sant Isidre, 23",JJFINQUES BADALONA,3.387 €/m²,559.000 €,165 m²,https://www.pisos.com/comprar/casa_adosada-badalona_centre08912-48351621804_101800/,Anuncio actualizado el 20/02/2025,"B, B","B, B",badalona (BCN),165 m²,175 m²,2,Entre 10 y 20 años,IF76353-F11,,4,,1,,,Central,,,N/A,,N/A,,N/A,,,,,,,,,,,,,,Adosada,1,N/A,Comunitaria,,,,,,,,,
Casa adosada en Carrer de Maria Callas,PARELLADA IMMOBILIÀRIA,2.546 €/m²,550.000 €,216 m²,https://www.pisos.com/comprar/casa_adosada-bonavista_bufala08915-49181273486_100500/,Anuncio actualizado el 13/12/2024,Error al procesar consumo,Error al procesar emisiones,badalona (BCN),216 m²,,4,Entre 30 y 50 años,SA5410-3007/11637,195 m²,5,,1,,N/A,N/A,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,Adosada,1,,,,,,,,,,,
