nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Conservación,Referencia,Calefacción,Cocina equipada,Terraza,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Planta,Exterior,Antigüedad,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Aire acondicionado,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Soleado,Gastos de comunidad,Amueblado,Armarios empotrados,Gas,Lavadero,Se aceptan mascotas,Sistema de seguridad,Balcón,Tipo de casa,Teléfono,Chimenea,Jardín,Piscina,Agua,Luz,Interior
Casa en Carrer de la Pleta,CENTURY21 Ars,560 €/m²,255.000 €,455 m²,https://www.pisos.com/comprar/casa-suria_centro_urbano-44266537411_992744/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),455 m²,410 m²,93 m²,6,3,En buen estado,4992744-WEL-0142,Eléctrica,N/A,N/A,Suroeste,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Francesc Moragas,FABRA FINQUES,2.207 €/m²,170.000 €,77 m²,https://www.pisos.com/comprar/piso-valldaura08241-50861588670_142600/,Anuncio actualizado el 20/02/2025,"E, E","E, E",bages (BCN),77 m²,70 m²,,2,1,En buen estado,1426-087459,Eléctrica,11m independent,33m,Este,,,,Bajo,N/A,Entre 20 y 30 años,Roure,Gres,N/A,Aluminio,Frío y calor,22m,1,Nº10,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,
Piso en Sagrada Família,DON PISO MANRESA,1.500 €/m²,127.500 €,85 m²,https://www.pisos.com/comprar/piso-manresa_sagrada_familia08243-49227663037_519054/,Anuncio actualizado el 20/02/2025,"E, E","E, E",bages (BCN),85 m²,85 m²,,4,1,Reformado,4519054-288414,Gas natural,Equipada,,Este,,,,2ª,,Entre 30 y 50 años,,Gres,Al-lumini,Aluminio,Frío y calor,Completo,,,N/A,,N/A,N/A,N/A,Entre 40 y 60 €,N/A,2,N/A,Galeria,N/A,,,,,,,,,,
Piso en Passeig,BOLSA DE LA VIVIENDA,1.410 €/m²,189.000 €,134 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies08242-47520938825_500793/,Anuncio actualizado el 20/02/2025,"D, D","D, D",bages (BCN),134 m²,109 m²,,4,2,Reformado,500793-PV3001,N/A,N/A,N/A,Sur,,,,1ª,N/A,Entre 30 y 50 años,,Parquet,N/A,Aluminio,,N/A,,N/A,N/A,,N/A,,N/A,,,,,,,N/A,N/A,,,,,,,,
Piso en Centre-Passeig i Rodalies,DON PISO MANRESA,1.680 €/m²,210.000 €,125 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies-48344398017_519054/,Anuncio actualizado el 20/02/2025,"F, E","F, E",bages (BCN),125 m²,110 m²,,3,2,En buen estado,4519054-287661,Gas natural,Espaciosa,,Suroeste,,,,4ª,Calle,Entre 30 y 50 años,,Terrazo,N/A,Aluminio,,Amplio,,En la planta baja,N/A,,N/A,,Tardes,Entre 40 y 60 €,,2,N/A,,N/A,,,,,,,,,,
Piso en Artés,AFYS MANRESA,1.417 €/m²,180.000 €,127 m²,https://www.pisos.com/comprar/piso-artes_centro_urbano-50913872001_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),127 m²,120 m²,,4,2,,SA2898-11532/5664,Gas natural,,,Sur,,,,2ª,,Entre 30 y 50 años,,Gres,,,,,,N/A,,N/A,N/A,,,,N/A,1,,,,,N/A,,,,,,,,
Casa adosada en Callús,FINQUES LOW COST,1.900 €/m²,380.000 €,200 m²,https://www.pisos.com/comprar/casa_adosada-callus_centro_urbano08262-51724527074_518544/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),200 m²,185 m²,100 m²,4,2,Reformado,4518544-0800,Central,De diseño,N/A,Sur,N/A,N/A,N/A,,,Entre 30 y 50 años,Puertas macizas lacadas blancas,Gres,N/A,Aluminio,Frío y calor,N/A,1,,,,,,,,,Más de 2,,N/A,,,,Adosada,N/A,N/A,Privado,,,,
Casa en Sant Salvador de Guardiola,DON PISO MANRESA,1.115 €/m²,290.000 €,260 m²,https://www.pisos.com/comprar/casa-sant_salvador_de_guardiola_centro_urbano-46754934375_519054/,Anuncio actualizado el 20/02/2025,"F, E","F, E",bages (BCN),260 m²,200 m²,464 m²,5,3,En buen estado,4519054-286302,Gas natural,Amplia y práctica,Varias,Sur,N/A,N/A,N/A,,,Entre 20 y 30 años,Aluminio,Gres,N/A,Aluminio,Frío y calor,33m²,Más de 2,,,,,,,Entre 20 y 40 €,,Más de 2,N/A,15m²,N/A,,,,N/A,,Privado,,,,
Piso en Carrer d'Eduardo Peña,"VicMoBa, S.L",1.638 €/m²,178.640 €,109 m²,https://www.pisos.com/comprar/piso-sant_vicenc_de_castellet_centro_urbano-50890237620_100500/,Anuncio actualizado el 05/02/2025,"D, D","D, D",bages (BCN),109 m²,102 m²,,3,1,,SA3706-VMB1963/3498,Gas natural,,,,,,,2ª,,Entre 20 y 30 años,,Gres,,,N/A,,,,,,N/A,,,Entre 40 y 60 €,,,,,,,N/A,,,,,,,,
Chalet en Carrer del Cadí,DON PISO MANRESA,1.173 €/m²,270.000 €,230 m²,https://www.pisos.com/comprar/chalet-castellnou_de_bages_centro_urbano08251-48353034568_519054/,Anuncio actualizado el 20/02/2025,"G, D","G, D",bages (BCN),230 m²,108 m²,712 m²,4,1,En buen estado,4519054-288104,,Nueva,,Sureste,N/A,N/A,N/A,,,Entre 30 y 50 años,,Terrazo,,Madera,,Grande con chimenea y salida a balcon grande,Más de 2,,,,,,,,,,,,N/A,,,,,N/A,Privado,,,,
Piso en Valldaura,DON PISO MANRESA,2.304 €/m²,189.000 €,82 m²,https://www.pisos.com/comprar/piso-valldaura-48355863238_519054/,Anuncio actualizado el 20/02/2025,"E, E","E, E",bages (BCN),82 m²,75 m²,,3,1,En buen estado,4519054-161345,Eléctrica,Equipada i salida a balcon,,Noreste,,,,2ª,Balcó,Entre 20 y 30 años,,Gres,N/A,Aluminio,Frío y calor,Grande,,,,N/A,N/A,N/A,,Entre 60 y 80 €,,,,N/A,N/A,,N/A,,,,,,,,
Piso en Illa Verda,BOLSA DE LA VIVIENDA,2.595 €/m²,244.000 €,94 m²,https://www.pisos.com/comprar/piso-ctra_de_santpedor_bases_de_manresa-626751065_500793/,Anuncio actualizado el 20/02/2025,"F, G","F, G",bages (BCN),94 m²,78 m²,,3,2,En buen estado,500793-PV198,Eléctrica,N/A,,N/A,,,,3ª,N/A,Entre 10 y 20 años,N/A,N/A,N/A,Aluminio,,N/A,1,,N/A,N/A,N/A,,N/A,,,,,N/A,,,N/A,,,,Comunitario,Comunitaria,,,
Casa adosada en Navarcles,FINQUES LOW COST,938 €/m²,258.000 €,275 m²,https://www.pisos.com/comprar/casa_adosada-navarcles_centro_urbano-50889303649_518544/,Anuncio actualizado el 18/02/2025,"D, D","D, D",bages (BCN),275 m²,250 m²,143 m²,5,5,En buen estado,4518544-0797,Gas natural,Office vitro,50 m²,Sur,N/A,N/A,N/A,,,Entre 20 y 30 años,Roble,Gres,N/A,Aluminio,Frío y calor,Con chimenea,Más de 2,,,,,,,,,1,N/A,Independiente,,,,Adosada,Fibra,En el comedor,,,,,
Piso en Plaça dels Infants,"VicMoBa, S.L",1.895 €/m²,85.300 €,45 m²,https://www.pisos.com/comprar/piso-barri_antic-47585938635_100500/,Anuncio actualizado el 05/02/2025,"E, E","E, E",bages (BCN),45 m²,41 m²,,1,1,,SA3706-VMB1092/3498,Gas natural,,,,,,,1ª,,Más de 50 años,,Parquet,,,,,,,,,N/A,,,Entre 80 y 100 €,,,,,,,,,,,,,,,
Piso en Carretera de Berga,"VicMoBa, S.L",1.230 €/m²,139.000 €,113 m²,https://www.pisos.com/comprar/piso-balsareny_centro_urbano08660-50912699727_100500/,Anuncio actualizado el 05/02/2025,"D, D","D, D",bages (BCN),113 m²,77 m²,,3,1,,SA3706-VMB1965/3498,,,,,,,,2ª,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,,
Casa pareada en Monistrol de Montserrat,LES CLAUS DE SANT VICENÇ,611 €/m²,357.000 €,584 m²,https://www.pisos.com/comprar/casa_pareada-monistrol_de_montserrat_centro_urbano-32575886770_199200/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),584 m²,584 m²,350 m²,9,4,En buen estado,1992-003751,,N/A,N/A,Noreste y suroeste,,,,,,Más de 50 años,Madera,Terrazo y gres,,Madera y aluminio,Frío y calor,N/A,1,,,,,,,,,,,N/A,,,,Pareada,,,Privado,,,,
Casa en La Planota,"VicMoBa, S.L",2.393 €/m²,395.000 €,165 m²,https://www.pisos.com/comprar/casa-navarcles_centro_urbano-21676764623_100500/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),165 m²,130 m²,,3,3,,SA3706-VMB1839/3498,N/A,,N/A,,,,,,,Menos de 5 años,,,,,N/A,,1,,,,,,,,,,,,,,,,,,,,,,
Piso en Barri Antic,"MAURI ASSESSORS, S.L.",1.102 €/m²,112.500 €,102 m²,https://www.pisos.com/comprar/piso-barri_antic-50901904297_523835/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),102 m²,102 m²,,4,2,En buen estado,4523835-000149,,,,,,,,4ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Llibertat,LES CLAUS DE SANT VICENÇ,1.966 €/m²,194.670 €,99 m²,https://www.pisos.com/comprar/piso-sant_vicenc_de_castellet_centro_urbano-5220028365_109700/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),99 m²,,,2,,A estrenar,1097-21766719,,,N/A,,,,,2ª,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Casa en Valldaura,"VicMoBa, S.L",1.250 €/m²,287.600 €,230 m²,https://www.pisos.com/comprar/casa-valldaura08241-50042334494_100500/,Anuncio actualizado el 05/02/2025,"B, B","B, B",bages (BCN),230 m²,169 m²,,3,3,,SA3706-VMB1959/3498,,,N/A,Oeste,,,,,,Más de 50 años,,,,,N/A,,1,N/A,,,,,,,,,,,,,,,,,,,N/A,,
