nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Aire acondicionado,Calefacción,Garaje,Terraza,Jardín,Piscina,Superficie útil,Planta,Gastos de comunidad,Tipo suelo,Trastero,Puerta blindada,Ascensor,Balcón,Orientación,Exterior,Amueblado,Carpintería interior,Vidrios dobles,Carpintería exterior,Teléfono,Cocina equipada,Comedor,Portero automático,Sistema de seguridad,Soleado,Se aceptan mascotas,Superficie solar,Urbanizado,Armarios empotrados,Gas,Lavadero,Adaptado a personas con movilidad reducida,Agua,Chimenea,Tipo de casa,Luz,Calle alumbrada,Calle asfaltada,Interior,No se aceptan mascotas
"Chalet en Avinguda 302, 9",FINCAS BELLAMAR,5.691 €/m²,1.400.000 €,246 m²,https://www.pisos.com/comprar/chalet-montmar-39211864726_100500/,Anuncio actualizado el 20/02/2025,"A, A","A, A",baix_llobregat (BCN),246 m²,4,4,Menos de 5 años,En buen estado,SA2911-VC2023050,Frío,Eléctrica,1,N/A,Privado,Propia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Canonge Doctor Auguet,OPENLLAR SERVEIS IMMOBILIARIS,2.877 €/m²,259.000 €,90 m²,https://www.pisos.com/comprar/piso-el_mas_rates_la_montserratina_el_ginestar-50870584417_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",baix_llobregat (BCN),90 m²,3,2,Entre 20 y 30 años,,SA1019-OP250104/3968,N/A,N/A,,N/A,,,75 m²,2ª,Entre 40 y 60 €,Terrazo,N/A,N/A,N/A,N/A,Noroeste,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de la Constitució,PROPIETARIS.CAT,4.266 €/m²,256.000 €,60 m²,https://www.pisos.com/comprar/piso-bellamar-50848023023_513853/,Anuncio actualizado el 19/02/2025,"E, E","E, E",baix_llobregat (BCN),60 m²,2,1,Más de 50 años,En buen estado,513853-CastelldefelsMarimuntanya,Frío y calor,Eléctrica,1,Propia y otra de comunitaria,,,60 m²,1ª,Entre 20 y 40 €,Gres,,,,N/A,Suroeste,N/A,N/A,N/A,N/A,Aluminio,Fibra optica,Equipada,Amplio y luminoso,N/A,Alarma,N/A,N/A,,,,,,,,,,,,,,
Chalet en Vallserrat,habitat Catalunya,921 €/m²,339.000 €,368 m²,https://www.pisos.com/comprar/chalet-sant_esteve_sesrovires_centro_urbano-32556235087_100500/,Anuncio actualizado el 20/02/2025,"E, D","E, D",baix_llobregat (BCN),368 m²,5,4,,,SA828-00966/3799,,,1,N/A,,,148 m²,,,Gres,,,,,,,,,,,,,N/A,,,,,585 m²,N/A,,,,,,,,,,,,
Piso en Baixador,FINCAS BELLAMAR,4.500 €/m²,315.000 €,70 m²,https://www.pisos.com/comprar/piso-baixador-43362740461_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),70 m²,3,1,,,SA2911-VC202416,,,,,,,57 m²,3ª,Entre 60 y 80 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Amadeu Vives,PROPIETARIS.CAT,2.800 €/m²,280.000 €,100 m²,https://www.pisos.com/comprar/piso-molins_de_rei_centro_urbano-50909404935_513853/,Anuncio actualizado el 19/02/2025,"E, E","E, E",baix_llobregat (BCN),100 m²,3,1,Entre 30 y 50 años,Reformado,513853-LuxMolinsCenter,Frío y calor,Gas natural,,N/A,,,100 m²,Bajo,Entre 20 y 40 €,Parquet,,N/A,N/A,,Sureste,N/A,N/A,N/A,Doble acristalamiento climalit,Aluminio,Fibra optica,Totalmente equipada,Amplio,N/A,N/A,N/A,N/A,,,1,Gas natural,N/A,N/A,,,,,,,,
Chalet en Carrer de les Acàcies,OPENLLAR SERVEIS IMMOBILIARIS,1.743 €/m²,640.000 €,367 m²,https://www.pisos.com/comprar/chalet-marianao-39174421991_100500/,Anuncio actualizado el 19/02/2025,"F, G","F, G",baix_llobregat (BCN),367 m²,5,4,,,SA1019-OP231103/3968,,N/A,,N/A,N/A,,241 m²,,,Mármol,,N/A,,,Sureste,,,,,,,,,,N/A,,,1.800 m²,,1,,,,N/A,N/A,,,,,,
Piso en Passeig Marítim,FINCAS BELLAMAR,6.860 €/m²,590.000 €,86 m²,https://www.pisos.com/comprar/piso-baixador-48408592157_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),86 m²,3,1,Más de 50 años,En buen estado,SA2911-VC202432,Frío,Eléctrica,1,N/A,,Comunitaria,,1ª,Más de 100 €,,N/A,,,,,N/A,,,,,,,,,,,,,,1,,,,,N/A,,,,,,
Casa adosada en Carrer d'Olesa,AVIMONT,1.800 €/m²,306.000 €,170 m²,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-50865437241_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",baix_llobregat (BCN),170 m²,3,2,Entre 20 y 30 años,,SA5503-CA02341/10760,,Eléctrica,1,N/A,N/A,,128 m²,,Más de 100 €,Gres,,,,,Noroeste,,,,,,N/A,,,,,,,,N/A,,,,,N/A,,Adosada,,,,,
"Chalet en Carrer de l'Est, 31",RE/MAX CONCORDE,5.101 €/m²,1.760.000 €,345 m²,https://www.pisos.com/comprar/chalet-esplugues_de_llobregat_centro_urbano08950-48349660892_100500/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),345 m²,5,4,Entre 30 y 50 años,,SA5593-RMC-00009/11744,N/A,N/A,1,N/A,N/A,,331 m²,,,,,,,,,,,,,,,,,,,,,466 m²,,1,,,,,,,,,,,
Casa adosada en Esparreguera,GESTILLAR,Error al procesar precio m²,275.000 €,3,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-49246416240_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),,3,2,,,AG560-10963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,
"Piso en calle Sor Lucia Martinez Santidrian Esquina Esquina Con ,  S/N",CARDONER REAL ESTATE,2.333 €/m²,238.000 €,102 m²,https://www.pisos.com/comprar/piso-olesa_de_montserrat_centro_urbano-4976401023_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),102 m²,3,2,,A estrenar,SA4059-21592121,,,,N/A,,,,2ª,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Ca N Amat,URBEFINQUES ROSANES,2.255 €/m²,485.000 €,215 m²,https://www.pisos.com/comprar/chalet-abrera_centro_urbano-48333479882_100500/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),215 m²,4,2,Entre 30 y 50 años,,SA376-VABR-1300/3191,N/A,N/A,1,N/A,N/A,,123 m²,,,Gres,,,,,,,,,,,,,N/A,,N/A,,,770 m²,N/A,1,,,,N/A,N/A,,,,,,
