nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Planta,Antigüedad,Referencia,Ascensor,Calefacción,Superficie útil,Exterior,Conservación,Gastos de comunidad,Tipo suelo,Carpintería exterior,Aire acondicionado,Cocina equipada,Comedor,Portero automático,Orientación,Soleado,Trastero,Balcón,Terraza,Se aceptan mascotas,Armarios empotrados,Carpintería interior,Vidrios dobles,Teléfono,Garaje,Puerta blindada,Sistema de seguridad,Adaptado a personas con movilidad reducida,Jardín,Lavadero,Piscina,Interior,Amueblado,Chimenea,Agua,Superficie solar,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Ático en El Poble-sec,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,6.071 €/m²,340.000 €,56 m²,https://www.pisos.com/comprar/atico-el_poble_sec08004-42514873661_101800/,Anuncio actualizado el 31/10/2024,"E, E","E, E",barcelona_capital (BCN),56 m²,2,1,5ª,Más de 50 años,IF77106-LCB29467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sants,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,2.669 €/m²,590.000 €,221 m²,https://www.pisos.com/comprar/piso-sants_montjuic_sants08028-49194195643_101800/,Anuncio actualizado el 20/11/2024,"E, E","E, E",barcelona_capital (BCN),221 m²,,1,,Más de 50 años,IF77106-LCB31810-1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Font de la Guatlla,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,4.621 €/m²,379.000 €,82 m²,https://www.pisos.com/comprar/piso-la_font_de_la_guatlla08004-51699789766_101800/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona_capital (BCN),82 m²,4,2,1ª,Entre 30 y 50 años,IF77106-LCB34943-1,N/A,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Muntaner,GD&A BROKERS INMOBILIARIOS,7.000 €/m²,420.000 €,60 m²,https://www.pisos.com/comprar/piso-sant_gervasi_la_bonanova08022-51705787719_991923/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona_capital (BCN),60 m²,1,1,3ª,Entre 30 y 50 años,4991923-50015,N/A,Eléctrica,55 m²,N/A,En buen estado,Entre 60 y 80 €,Parquet,Aluminio,Frío y calor,Independiente,Amplio,N/A,Surnorte,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de l'Om,TUKSA,3.589 €/m²,280.000 €,78 m²,https://www.pisos.com/comprar/piso-el_raval08001-50011879151_108900/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),78 m²,3,1,1ª,Entre 30 y 50 años,XA778-O_TK24_1311B,,Gas natural,70 m²,N/A,En buen estado,,Cerámica o gress,,,Independiente,,,Norte::sur,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Muntaner,Sarria Properties,5.862 €/m²,1.190.000 €,203 m²,https://www.pisos.com/comprar/piso-sant_gervasi_galvany08021-50074029118_100500/,Anuncio actualizado el 24/01/2025,"E, E","E, E",barcelona_capital (BCN),203 m²,5,2,2ª,Más de 50 años,SA3248-SP962/8414,N/A,N/A,170 m²,,,,Parquet,,,,,,Este,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Barcelonés,Constance DE PERTHUIS,6.000 €/m²,480.000 €,80 m²,https://www.pisos.com/comprar/piso-el_raval08001-50097368701_108700/,Anuncio actualizado el 20/02/2025,"D, D","D, D",barcelona_capital (BCN),80 m²,2,1,,Más de 50 años,UVC243-30580,N/A,N/A,80 m²,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Josep Serrano,"ESTUDIO MIRAFLORES L´HOSPITALET, S.L. II",3.025 €/m²,236.000 €,78 m²,https://www.pisos.com/comprar/piso-can_baro08024-48391245335_525021/,Anuncio actualizado el 20/02/2025,"F, F","F, F",barcelona_capital (BCN),78 m²,2,1,Bajo,Más de 50 años,"4525021-LCB32801- Baix LLobregat -Punt Sagrada Família, S.",,,68 m²,N/A,En buen estado,,Gres,Aluminio,,N/A,,,Sureste,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
"Piso en Plaça Catalana, 1",LA LLAVE DE ORO,5.173 €/m²,595.000 €,115 m²,https://www.pisos.com/comprar/piso-el_guinardo08032-5091748964_109700/,Anuncio actualizado el 14/02/2025,"A, A","A, A",barcelona_capital (BCN),115 m²,3,2,1ª,,4993346-0,,,,,A estrenar,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Ático en Carrer de Mallorca,Adria Esparza Asesor Inmobiliario,6.808 €/m²,960.000 €,141 m²,https://www.pisos.com/comprar/atico-la_sagrada_familia08013-43368054082_524291/,Anuncio actualizado el 27/06/2024,"E, F","E, F",barcelona_capital (BCN),141 m²,4,3,6ª,Más de 50 años,4524291-000003,Con teclado numerico,,127 m²,N/A,En buen estado,,Parquet,Aluminio,Frío y calor,Con salida a terraza,Salon comedor de 28m²,N/A,Noreste,A 2 vientos con vistas,En el mismo edificio,,N/A,N/A,Más de 2,N/A,N/A,N/A,2,N/A,N/A,N/A,Comunitario,,,,,,,,,,,,,
Piso en Zona Alta,RUSTIC CORNER,12.132 €/m²,1.650.000 €,136 m²,https://www.pisos.com/comprar/piso-sarria_sant_gervasi_sarria08017-49250558066_148700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),136 m²,3,2,2ª,Menos de 5 años,1487-003066,N/A,,120 m²,N/A,A estrenar,,Parquet,Aluminio,Frío y calor,N/A,N/A,N/A,Sureste,N/A,,,N/A,,Más de 2,,,,1,N/A,,N/A,Comunitario,N/A,Propia,,,,,,,,,,,
Piso en Sant Pere-Santa Caterina-La Ribera,Engel & Völkers MMC Barcelona,6.147 €/m²,375.000 €,61 m²,https://www.pisos.com/comprar/piso-sant_pere_santa_caterina_la_ribera08003-5053782080_109700/,Anuncio actualizado el 18/12/2024,"C, C","C, C",barcelona_capital (BCN),61 m²,2,1,,,IF76306-D-000LU7,,,,,A estrenar,,,,Frío y calor,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Piso en Carrer de Lepant,"ESTUDIO MIRAFLORES L´HOSPITALET, S.L. II",4.872 €/m²,268.000 €,55 m²,https://www.pisos.com/comprar/piso-el_fort_pienc08013-48360495573_525021/,Anuncio actualizado el 19/02/2025,"F, F","F, F",barcelona_capital (BCN),55 m²,2,1,Bajo,Más de 50 años,"4525021-LCB32577- 	Punt Sagrada Família, S.L.",N/A,,55 m²,N/A,En buen estado,,Parquet,Aluminio,Frío y calor,Independiente,,,Sureste,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer de la Mare de Déu del Coll,Engel & Völkers MMC Barcelona,6.040 €/m²,453.000 €,75 m²,https://www.pisos.com/comprar/duplex-gracia_la_salut08023-4180557950_109700/,Anuncio actualizado el 18/12/2024,"B, A","B, A",barcelona_capital (BCN),75 m²,1,1,Bajo,,IF76306-D-000I5R,N/A,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
