nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Agua,Calefacción,Sistema de seguridad,Ascensor,Terraza,Orientación,Conservación,Garaje,Aire acondicionado,Cocina equipada,Trastero,Puerta blindada,Adaptado a personas con movilidad reducida,Jardín,Piscina,Exterior,Carpintería interior,Vidrios dobles,Carpintería exterior,Comedor,Lavadero,Portero automático,Balcón,Soleado,Tipo de casa,Superficie solar,Chimenea,Urbanizado,Teléfono,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Gas,Interior,Luz
Piso en Passeig Marítim,Viven Inmobiliaria,3.929 €/m²,279.000 €,71 m²,https://www.pisos.com/comprar/piso-barri_de_mar_ribes_roges_placa_de_la_sardana-50073589666_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),71 m²,48 m²,2,2,1ª,Entre 20 y 30 años,Entre 80 y 100 €,SA1672-1042/6926,N/A,1,Parquet,N/A,N/A,N/A,N/A,N/A,Noroeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer del Pintor Pere Pruna,  s/n",OPEN INMO,5.750 €/m²,299.000 €,52 m²,https://www.pisos.com/comprar/piso-can_girona_terramar_vinyet-4976622966_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),52 m²,,2,1,Bajo,,,-21563421,,,,,,,,N/A,,A estrenar,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de L'any Dels Negats,  9",AEDAS HOMES,3.965 €/m²,349.000 €,88 m²,https://www.pisos.com/comprar/piso-barri_de_mar_ribes_roges_placa_de_la_sardana-5193957865_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),88 m²,,3,2,7ª,,,-a0P07000001XJ6HEAW,,,,,Gas natural,,N/A,N/A,,A estrenar,N/A,Frío,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Mas Alba-Can Lloses,Engel & Völkers MMC Barcelona,3.347 €/m²,770.000 €,230 m²,https://www.pisos.com/comprar/chalet-mas_alba_can_lloses-4883404964_109700/,Anuncio actualizado el 09/12/2024,"A, A","A, A",garraf (BCN),230 m²,,4,3,,,,IF76306-D-000L8F,,,,,,,,N/A,,A estrenar,N/A,Frío y calor,N/A,,,N/A,Privado,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Les Botigues de Sitges,Forcadell Gavà,2.933 €/m²,484.000 €,165 m²,https://www.pisos.com/comprar/piso-les_botigues_de_sitges-47514816364_101800/,Anuncio actualizado el 20/02/2025,"E, E","E, E",garraf (BCN),165 m²,,5,2,,,,IF76847-GAV_2990,,,,,,,,,,,1,,,,,,,Propia,,,,,,,,,,,,,,,,,,,,
Apartamento en Sant Sebastià-Aiguadolç,Durán Carasso,4.487 €/m²,350.000 €,78 m²,https://www.pisos.com/comprar/apartamento-sant_sebastia_aiguadolc08870-50017073804_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),78 m²,,2,1,,,,BM201-5800,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Sant Sebastià-Aiguadolç,"Finques Parellades, su inmobiliaria en Sitges",4.500 €/m²,990.000 €,220 m²,https://www.pisos.com/comprar/atico-sant_sebastia_aiguadolc-24247064379_134500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",garraf (BCN),220 m²,90 m²,3,3,3ª,Entre 10 y 20 años,1740 €  todo  anual,1345-008891,,Más de 2,Parquet,,Eléctrica,,Emplio,Solalium privado de 80 m² y terraza privada de 38m,Suroeste,En buen estado,2,Frío y calor,N/A,En el parking,N/A,N/A,,,N/A,Madera noble,N/A,Aluminio,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
Casa adosada en Barri de Mar-Ribes Roges-Plaça de la Sardana,Engel & Völkers MMC Barcelona,2.151 €/m²,439.000 €,204 m²,https://www.pisos.com/comprar/casa_adosada-barri_de_mar_ribes_roges_placa_de_la_sardana-4939997029_109700/,Anuncio actualizado el 13/01/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),204 m²,,4,3,,,,IF76306-D-000LU1,,,,,,,,N/A,,A estrenar,N/A,,,,,,Privado,,,,,,,,,,,Adosada,,,,,,,,,,
"Piso en Carrer de la Boia, 7",AEDAS HOMES,4.356 €/m²,501.000 €,115 m²,https://www.pisos.com/comprar/piso-barri_de_mar_ribes_roges_placa_de_la_sardana-4804815176_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),115 m²,,4,2,4ª,,,-a0P1v000012AVgDEAW,,,,,,,N/A,N/A,,A estrenar,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Can Girona-Terramar-Vinyet,Engel & Völkers MMC Barcelona,6.229 €/m²,299.000 €,48 m²,https://www.pisos.com/comprar/piso-can_girona_terramar_vinyet-5005439665_109700/,Anuncio actualizado el 14/01/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),48 m²,,2,1,Bajo,,,IF76306-D-000MGY,,,,,,,,N/A,Al mar,A estrenar,N/A,Frío y calor,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
