nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Interior,Antigüedad,Conservación,Referencia,Tipo suelo,Carpintería exterior,Cocina equipada,Orientación,Se aceptan mascotas,Exterior,Aire acondicionado,Calefacción,Ascensor,Balcón,Terraza,Garaje,Gastos de comunidad,Puerta blindada,Trastero,Piscina,Armarios empotrados,Carpintería interior,Vidrios dobles,Gas,Teléfono,Comedor,Lavadero,Portero automático,Sistema de seguridad,Soleado,Agua,Superficie solar,Tipo de casa,Jardín,Adaptado a personas con movilidad reducida,Amueblado
Piso en Carrer de París,"ESTUDIO MIRAFLORES L´HOSPITALET, S.L. II",2.333 €/m²,105.000 €,45 m²,https://www.pisos.com/comprar/piso-collblanc08904-44185631368_525021/,Anuncio actualizado el 20/02/2025,"F, F","F, F",hospitalet_de_llobregat (BCN),45 m²,40 m²,3,1,3ª,N/A,Más de 50 años,A reformar,"4525021-LCB30598 -Estudio Miraflores L´Hospitalet, S.L.",Gres,Aluminio,Independiente,Este,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Migdia,"ESTUDIO MIRAFLORES L´HOSPITALET, S.L. II",3.051 €/m²,299.000 €,98 m²,https://www.pisos.com/comprar/piso-sant_josep08901-51676749910_525021/,Anuncio actualizado el 20/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),98 m²,93 m²,3,1,1ª,,Entre 20 y 30 años,En buen estado,4525021-LCB34786- Punto Hospitalet Centro S.L,Gres,Aluminio,Independiente,Sureste,N/A,N/A,Frío y calor,Gas natural,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Castellvell,"ESTUDIO MIRAFLORES L´HOSPITALET, S.L. II",2.847 €/m²,299.000 €,105 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-46683370776_525021/,Anuncio actualizado el 20/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),105 m²,100 m²,4,2,4ª,,Más de 50 años,Reformado,4525021-LCB30232- Miraflores,Parquet,Aluminio,Independiente,Noroeste,N/A,N/A,Frío y calor,Gas natural,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de l'Electricitat,CENTURY 21 SMART POINT,2.036 €/m²,112.000 €,55 m²,https://www.pisos.com/comprar/piso-pubilla_cases08906-48426620722_107700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),55 m²,55 m²,3,1,,,Más de 50 años,,VE5-C0028-AURE-30580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de París,"ESTUDIO MIRAFLORES L´HOSPITALET, S.L. II",2.333 €/m²,105.000 €,45 m²,https://www.pisos.com/comprar/piso-collblanc08904-44185631368_525021/,Anuncio actualizado el 20/02/2025,"F, F","F, F",hospitalet_de_llobregat (BCN),45 m²,40 m²,3,1,3ª,N/A,Más de 50 años,A reformar,"4525021-LCB30598 -Estudio Miraflores L´Hospitalet, S.L.",Gres,Aluminio,Independiente,Este,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de l'Aprestadora, 89",LA LLAVE DE ORO,4.836 €/m²,474.000 €,98 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_santa_eulalia08902-5116503917_109700/,Anuncio actualizado el 23/01/2025,"A, A","A, A",hospitalet_de_llobregat (BCN),98 m²,,3,2,Bajo,,,A estrenar,4993346-0,,,,,,,,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer del Cobalt, 130",Enric PARERA BUENDIA,4.500 €/m²,450.000 €,100 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_centre08907-51668883334_108700/,Anuncio actualizado el 20/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),100 m²,100 m²,2,1,,,Entre 5 y 10 años,,UVC799-31700,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
Ático en Carrer de les Amapolas,CALFERGRUP SERVEIS IMMOBILIARIS,3.384 €/m²,155.680 €,46 m²,https://www.pisos.com/comprar/atico-pubilla_cases08906-50065276597_108900/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),46 m²,40 m²,2,1,,,,,XA882-1018,,,,,,N/A,,,,,,,Más de 100 €,N/A,,,,,,,,,,,,,,,,,,
Piso en Carrer del Castellvell,"ESTUDIO MIRAFLORES L´HOSPITALET, S.L. II",2.847 €/m²,299.000 €,105 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-46683370776_525021/,Anuncio actualizado el 20/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),105 m²,100 m²,4,2,4ª,,Más de 50 años,Reformado,4525021-LCB30232- Miraflores,Parquet,Aluminio,Independiente,Noroeste,N/A,N/A,Frío y calor,Gas natural,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer Major, 108",AEDAS HOMES,3.991 €/m²,455.000 €,114 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_centre-4857865215_109700/,Anuncio actualizado el 17/02/2025,"A, A","A, A",hospitalet_de_llobregat (BCN),114 m²,,3,2,6ª,,,A estrenar,-a0P07000001hO6rEAE,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
