nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Carpintería exterior,Vidrios dobles,Tipo suelo,Aire acondicionado,Calefacción,Chimenea,Garaje,Jardín,Orientación,Terraza,Planta,Exterior,Balcón,Soleado,Superficie solar,Urbanizado,Calle alumbrada,Calle asfaltada,Armarios empotrados,Tipo de casa,Carpintería interior,Cocina equipada,Comedor,Lavadero,Amueblado,Teléfono,Puerta blindada,Piscina,Se aceptan mascotas,Portero automático,Sistema de seguridad,Ascensor,Gas,Trastero,Adaptado a personas con movilidad reducida,Gastos de comunidad
Casa en calle Nou de Santa Creu,FINQUES LLUÇANES,622 €/m²,190.000 €,305 m²,https://www.pisos.com/comprar/casa-santa_creu_de_jutglar08515-44221800945_513880/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),305 m²,150 m²,3,1,Más de 50 años,En buen estado,513880-88,Madera,N/A,Gres,Frío,Gasoil,N/A,1,Privado,Este,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer Major,FINQUES LLUÇANES,1.190 €/m²,250.000 €,210 m²,https://www.pisos.com/comprar/casa-perafita_centro_urbano-50096036354_513880/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),210 m²,210 m²,5,1,Más de 50 años,En buen estado,513880-001069,Madera,,Gres,,,N/A,1,Privado,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Carrer de Vic, 15",FINQUES LLUÇANES,238 €/m²,138.500 €,580 m²,https://www.pisos.com/comprar/casa-prats_de_llucanes_centro_urbano-91714845938_513880/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),580 m²,580 m²,4,2,Entre 20 y 30 años,A reformar,513880-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de l'Orient,FINQUES LLUÇANES,894 €/m²,85.000 €,95 m²,https://www.pisos.com/comprar/piso-prats_de_llucanes_centro_urbano-46684824079_513880/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),95 m²,90 m²,4,2,Entre 30 y 50 años,En buen estado,513880-0083,Madera,N/A,Gres,,Gas natural,,1,,Norte,,2ª,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
Casa en Lluçanès,RUSTIC CORNER,965 €/m²,450.000 €,466 m²,https://www.pisos.com/comprar/casa-perafita_centro_urbano-44262957101_148700/,Anuncio actualizado el 19/02/2025,"D, D","D, D",llucanes (BCN),466 m²,466 m²,8,4,Más de 50 años,En buen estado,1487-003006,Madera,N/A,,,Gasoil,N/A,2,Privado,,N/A,,,,,1.626 m²,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
"Casa en Carrer Major, 13",FINQUES LLUÇANES,177 €/m²,165.000 €,931 m²,https://www.pisos.com/comprar/casa-prats_de_llucanes_centro_urbano-100078273114_513880/,Anuncio actualizado el 16/12/2024,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),931 m²,930 m²,10,2,Entre 30 y 50 años,A reformar,513880-000832,Madera,,Gres,,Gasoil,N/A,,,Este,N/A,,,,,,N/A,,,Más de 2,,,,,,,,,,,,,,,,,
Casa en Carrer de Ripoll,FINQUES LLUÇANES,655 €/m²,190.000 €,290 m²,https://www.pisos.com/comprar/casa-olost_centro_urbano08516-43422759423_513880/,Anuncio actualizado el 15/02/2025,"E, E","E, E",llucanes (BCN),290 m²,290 m²,6,3,Más de 50 años,A reformar,513880-68,Madera,,Gres,,Gasoil,N/A,1,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Plaça de Catalunya,FINQUES LLUÇANES,1.134 €/m²,185.000 €,163 m²,https://www.pisos.com/comprar/casa_pareada-prats_de_llucanes_centro_urbano-50849868737_513880/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),163 m²,163 m²,4,2,Entre 30 y 50 años,En buen estado,513880-  0000,Madera,,Gres,,Gasoil,,1,Privado,,N/A,,,,,,,,,,Pareada,,,,,,,,,,,,,,,,
Casa en Olost,Finques La Vall,1.627 €/m²,275.000 €,169 m²,https://www.pisos.com/comprar/casa-olost_centro_urbano-32597781937_253600/,Anuncio actualizado el 20/02/2025,"G, G","G, G",llucanes (BCN),169 m²,152 m²,3,1,Entre 30 y 50 años,En buen estado,2536-080154,Madera,N/A,Gres,,,,,Privado,,,,,,,239 m²,N/A,N/A,N/A,,,Cirerer,Office de 11 m²,18 m²,5 m²,,,,,,,,,,,,
Casa en Carrer de Sant Pere,HABITATGE,580 €/m²,290.000 €,500 m²,https://www.pisos.com/comprar/casa-prats_de_llucanes_centro_urbano-41750107682_110700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,llucanes (BCN),500 m²,490 m²,4,2,Más de 50 años,En buen estado,1107-VC12402-15,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Centre,IMMOACASA.CAT,2.118 €/m²,440.650 €,208 m²,https://www.pisos.com/comprar/casa-perafita_centro_urbano-37569317302_501452/,Anuncio actualizado el 03/02/2025,"F, G","F, G",llucanes (BCN),208 m²,99 m²,3,2,Entre 20 y 30 años,En buen estado,501452-01796,PVC,N/A,Gres,Frío y calor,Gasoil,,Más de 2,Privado,3.010,N/A,,,,,683 m²,N/A,N/A,N/A,Más de 2,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Propia,N/A,,,,,,,
