nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Gastos de comunidad,Referencia,Carpintería exterior,Gas,Calefacción,Lavadero,Balcón,Orientación,Superficie solar,Amueblado,Armarios empotrados,Vidrios dobles,Tipo suelo,Teléfono,Aire acondicionado,Chimenea,Cocina equipada,Comedor,Garaje,Puerta blindada,Sistema de seguridad,Terraza,Jardín,Piscina,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Ascensor,Agua,Soleado,Carpintería interior,Portero automático,Adaptado a personas con movilidad reducida,Luz,Trastero,Tipo de casa,Interior,No se aceptan mascotas
Piso en Carrer de l'Estadi,IMMO-NOVA,1.794 €/m²,183.000 €,102 m²,https://www.pisos.com/comprar/piso-cerdanyola_sud08303-50887318743_525870/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),102 m²,92 m²,4,1,2ª,N/A,Más de 50 años,En buen estado,Entre 10 y 20 €,4525870-9010,Aluminio,N/A,Central,N/A,N/A,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer del Milfulles,PROPIETARIS.CAT,1.645 €/m²,329.000 €,200 m²,https://www.pisos.com/comprar/casa-santa_susanna_centro_urbano-50930649007_513853/,Anuncio actualizado el 19/02/2025,"E, E","E, E",maresme (BCN),200 m²,150 m²,6,3,,,Entre 20 y 30 años,En buen estado,,513853-VistesLuxStaSusanna,Aluminio,Gas natural,Eléctrica,N/A,,Sureste,1.000 m²,N/A,Más de 2,N/A,Mármol,N/A,Frío y calor,N/A,Totalmente equipada,Amplio y luminoso,2,N/A,Alarma conectada a policía,N/A,Privado,Propia,N/A,N/A,N/A,N/A,,,,,,,,,,,
"Piso en Ronda de Barceló, 49",PREMIER ESPAÑA,3.230 €/m²,365.000 €,113 m²,https://www.pisos.com/comprar/piso-mataro_eixample-5115598935_109700/,Anuncio actualizado el 18/02/2025,"A, A","A, A",maresme (BCN),113 m²,,3,2,,,,A estrenar,,4992912-21732519,,,Gas natural,,,,,,,,,,Frío y calor,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Casa en Carrer de Sant Ramon,homellar,1.274 €/m²,265.000 €,208 m²,https://www.pisos.com/comprar/casa-tordera_nucli_urba-50914689264_100500/,Anuncio actualizado el 04/02/2025,"G, G","G, G",maresme (BCN),208 m²,130 m²,4,2,,,Entre 20 y 30 años,,,SA2051-HLM2503/7494,,,,,,Suroeste,,,,,Gres,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,
Piso en El Palau,FINQUES SANTOS,2.000 €/m²,220.000 €,110 m²,https://www.pisos.com/comprar/piso-el_palau-40842500091_511336/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),110 m²,110 m²,4,2,5ª,N/A,Más de 50 años,Reformado,Entre 40 y 60 €,4511336-FS1MPV30,Aluminio,,Gas natural,N/A,,,,,,,Parquet,,Frío y calor,,N/A,N/A,,N/A,,N/A,,,,,,,N/A,,N/A,,,,,,,,
Piso en Carrer del Doctor Trueta,FINQUES SANTOS,3.272 €/m²,360.000 €,110 m²,https://www.pisos.com/comprar/piso-vilassar_de_dalt_centro_urbano-48405702515_511336/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),110 m²,110 m²,3,2,1ª,N/A,Menos de 5 años,A estrenar,,4511336-FS1VDPV36,Aluminio,,,,,,,,,,Parquet,,Frío y calor,,Abierta al salón,Con acceso a terraza,,,,N/A,,,,,,,N/A,,N/A,,,,,,,,
Piso en Carrer de la Verge de la Paloma,IMMO-NOVA,2.083 €/m²,125.000 €,60 m²,https://www.pisos.com/comprar/piso-cerdanyola_sud08303-50860468080_525870/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),60 m²,45 m²,2,1,Bajo,N/A,Más de 50 años,Reformado,,4525870-3446,Aluminio,,,,,,,,,,Parquet,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Maresme,Sergi Marti Navarro,2.888 €/m²,182.000 €,63 m²,https://www.pisos.com/comprar/piso-la_llantia-50922657195_108700/,Anuncio actualizado el 20/02/2025,"E, E","E, E",maresme (BCN),63 m²,63 m²,2,1,,,Más de 50 años,,,UVC669-30889,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Calella,GESTILLAR,Error al procesar precio m²,108.000 €,1,https://www.pisos.com/comprar/piso-calella_centro_urbano08370-48338140638_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),,,1,1,,,,,,AG560-10951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer de Sant Cugat,PROPIETARIS.CAT,2.431 €/m²,389.000 €,160 m²,https://www.pisos.com/comprar/duplex-mataro_eixample-51714495117_513853/,Anuncio actualizado el 19/02/2025,"E, E","E, E",maresme (BCN),160 m²,140 m²,4,2,Bajo,N/A,Entre 10 y 20 años,En buen estado,Entre 40 y 60 €,513853-LuxeMataroCentre,Aluminio,,Eléctrica,N/A,,Sureste,,N/A,1,N/A,Mármol,Fibra optica,Frío y calor,,Totalmente equipada,Amplio y luminoso,,N/A,Alarma conectada a policia,N/A,Privado,,,,,N/A,N/A,,N/A,N/A,N/A,N/A,,,,,
