nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Antigüedad,Referencia,Calefacción,Garaje,Superficie solar,Tipo de casa,Conservación,Carpintería exterior,Vidrios dobles,Tipo suelo,Teléfono,Cocina equipada,Puerta blindada,Terraza,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Carpintería interior,Comedor,Jardín,Lavadero,Chimenea,Piscina,Armarios empotrados,Adaptado a personas con movilidad reducida,Amueblado,Agua,Luz,Planta,Ascensor,Trastero,Exterior,Portero automático,Soleado,Aire acondicionado,Gas,Gastos de comunidad,Sistema de seguridad,Balcón,Alcantarillado
Casa en La Guardia,"VicMoBa, S.L",1.434 €/m²,396.000 €,276 m²,https://www.pisos.com/comprar/casa-calders_centro_urbano-39205212348_100500/,Anuncio actualizado el 05/02/2025,"A, B","A, B",moianes (BCN),276 m²,248 m²,4,3,Menos de 5 años,SA3706-VMB1920/3498,N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Carrer La Mallola,IMMOSAVALL,1.073 €/m²,174.900 €,163 m²,https://www.pisos.com/comprar/casa_adosada-monistrol_de_calders_centro_urbano-47540558053_520006/,Anuncio actualizado el 20/02/2025,"E, E","E, E",moianes (BCN),163 m²,83 m²,3,2,Entre 20 y 30 años,4520006-00303,Gasoil,2,69 m²,Adosada,Reformado,PVC,N/A,Gres y parket,N/A,Office,N/A,2 terrazas,Sureste,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Carrer del Canigó,IMMOSAVALL,1.328 €/m²,279.000 €,210 m²,https://www.pisos.com/comprar/casa_pareada-moia_centro_urbano-22508105306_520006/,Anuncio actualizado el 20/02/2025,"G, G","G, G",moianes (BCN),210 m²,150 m²,4,3,Entre 10 y 20 años,4520006-00170,Gasoil,Más de 2,300 m²,Pareada,En buen estado,Madera,N/A,Gres,,N/A,N/A,12 m².,Sur,N/A,N/A,,N/A,N/A,N/A,Privado,,,,,,,,,,,,,,,,,,,,
"Chalet en Carrer Clotes, 18",ASSESSORIA COLL GESTORIA S.L.,370 €/m²,380.000 €,1.027 m²,https://www.pisos.com/comprar/chalet-sant_quirze_safaja_centro_urbano08189-47547491894_993748/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),1.027 m²,200 m²,3,2,Entre 10 y 20 años,4993748-13289268,,1,1.027 m²,,En buen estado,,,,,,,,,N/A,N/A,N/A,N/A,,,Privado,,,,,,,,,,,,,,,,,,,,
Chalet en Carrer de Peguera,DON PISO MANRESA,720 €/m²,260.000 €,361 m²,https://www.pisos.com/comprar/chalet-calders_centro_urbano-47544771071_519054/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),361 m²,160 m²,4,2,Más de 50 años,4519054-287183,Gasoil,2,620 m²,,En buen estado,Aluminio,N/A,Terrazo,N/A,N/A,,N/A,Noroeste,N/A,N/A,N/A,N/A,,Salida a balcón,Privado,N/A,,,,,,,,,,,,,,,,,,,
Chalet en Carrer de Sant Pere,FLAMAT HORTA,977 €/m²,215.000 €,220 m²,https://www.pisos.com/comprar/chalet-moia_centro_urbano-50099850032_100500/,Anuncio actualizado el 17/01/2025,"F, F","F, F",moianes (BCN),220 m²,159 m²,5,2,Entre 20 y 30 años,SA5732-EN-MOIA,,,,,En buen estado,,,,,,,N/A,,,,,,,,Comunitario,,,,,,,,,,,,,,,,,,,,
Chalet en calle Solà de Boix,MAGESCAL,1.712 €/m²,1.500.000 €,876 m²,https://www.pisos.com/comprar/chalet-sant_quirze_safaja_centro_urbano08189-40913627849_108900/,Anuncio actualizado el 10/01/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),876 m²,866 m²,5,4,,XA836-C-656,N/A,N/A,,,En buen estado,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
Casa en Castellterçol,LAUDOR XXI,2.027 €/m²,375.000 €,185 m²,https://www.pisos.com/comprar/casa-castelltercol_centro_urbano-49226095590_106700/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),185 m²,160 m²,5,4,,IFC76145-1117 (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Carrer del Castell,IMMOSAVALL,806 €/m²,225.000 €,279 m²,https://www.pisos.com/comprar/casa_adosada-granera_centro_urbano-28362698694_520006/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),279 m²,180 m²,4,2,,4520006-00213,,,,Adosada,En buen estado,Madera,,,,,,N/A,Suroeste,N/A,,,N/A,,,Privado,,,,,,,,,,,,,,,,,,,,
Casa en calle Bonavista de La,FS FINQUES,1.941 €/m²,167.000 €,86 m²,https://www.pisos.com/comprar/casa-monistrol_de_calders_centro_urbano-34216187079_100500/,Anuncio actualizado el 10/09/2024,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),86 m²,80 m²,3,1,Más de 50 años,SA411-R802/4962,,,,,,,,,,,,,,,,,,,,N/A,,,Comunitaria,,,,,,,,,,,,,,,,,
