nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Referencia,Ascensor,Balcón,Terraza,Superficie útil,Superficie solar,Antigüedad,Conservación,Tipo suelo,Agua,Luz,Calefacción,Cocina equipada,Trastero,Planta,Armarios empotrados,Vidrios dobles,Carpintería exterior,Gas,Comedor,Lavadero,Portero automático,Puerta blindada,Sistema de seguridad,Garaje,Adaptado a personas con movilidad reducida,Jardín,Orientación,Urbanizado,Carpintería interior,Calle alumbrada,Calle asfaltada,Exterior,Teléfono,Soleado,Se aceptan mascotas,Tipo de casa,Aire acondicionado,Chimenea,Interior,Amueblado,Piscina,Gastos de comunidad
Piso en Carrer de Sant Antoni Maria Claret,CÒDOL GESTIÓ VIC,2.094 €/m²,310.000 €,148 m²,https://www.pisos.com/comprar/piso-vic_centre_historic-51744966131_100500/,Anuncio actualizado el 20/02/2025,"A, A","A, A",osona (BCN),148 m²,3,3,SA4092-V02090,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Plaza Pla Dels Albers,CÒDOL GESTIÓ MANLLEU,1.458 €/m²,175.000 €,120 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-49262508702_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),120 m²,3,2,SA4091-M02039,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Mossèn Gudiol 9-15,CÒDOL GESTIÓ VIC,4.431 €/m²,390.000 €,88 m²,https://www.pisos.com/comprar/piso-nord_el_sucre_universitat08500-51719823730_100500/,Anuncio actualizado el 19/02/2025,"A, A","A, A",osona (BCN),88 m²,3,2,SA4092-V02062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Barri de La Salut,CÒDOL GESTIÓ MANLLEU,2.252 €/m²,205.000 €,91 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-40003544848_100500/,Anuncio actualizado el 20/02/2025,"C, B","C, B",osona (BCN),91 m²,3,2,SA4091-T01413,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Carrer del Pont, 29",ESPAI HABITAT,398 €/m²,319.000 €,800 m²,https://www.pisos.com/comprar/casa-manlleu_centro_urbano-41751117567_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),800 m²,5,3,EP831-1049347,,,,226 m²,311 m²,Más de 50 años,A reformar,Cerámica o gress,N/A,N/A,Gas natural,Independiente,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de la Cavalleria,QÚESTIONS IMMOBILIÀRIES,326 €/m²,65.000 €,199 m²,https://www.pisos.com/comprar/casa-manlleu_centro_urbano-27591940172_511005/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),199 m²,1,1,4511005-MA10022,,,,199 m²,314 m²,Más de 50 años,A reformar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Barri de La Salut,CÒDOL GESTIÓ MANLLEU,2.180 €/m²,205.000 €,94 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-32518558389_100500/,Anuncio actualizado el 20/02/2025,"C, B","C, B",osona (BCN),94 m²,3,2,SA4091-T01414,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de la Diputació,CÒDOL GESTIÓ MANLLEU,1.666 €/m²,95.000 €,57 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-42503746949_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),57 m²,1,1,SA4091-M01941,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en calle Puigagut,CÒDOL GESTIÓ MANLLEU,727 €/m²,219.000 €,301 m²,https://www.pisos.com/comprar/casa-manlleu_centro_urbano-35918407406_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),301 m²,3,3,SA4091-M01847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer dels Argenters,ARKI,2.481 €/m²,340.000 €,137 m²,https://www.pisos.com/comprar/piso-vic_centre_historic-49169278604_524984/,Anuncio actualizado el 30/01/2025,"E, E","E, E",osona (BCN),137 m²,3,2,4524984-1,N/A,,,115 m²,,Entre 5 y 10 años,En buen estado,Parquet,,,Gas natural,N/A,,2ª,Más de 2,N/A,Madera,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
Casa en calle Rafael Casanova,OSONA ACTIVA,1.080 €/m²,308.000 €,285 m²,https://www.pisos.com/comprar/casa-centelles_centro_urbano-47543560088_137000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),285 m²,3,2,1370-082598,,,N/A,154 m²,,Entre 10 y 20 años,En buen estado,Gres,,,Gas natural,N/A,,,,,,,N/A,,,,,1,N/A,Privado,Noreste,N/A,,,,,,,,,,,,,,
Chalet en Santa Eugènia de Berga,Finques La Vall,1.853 €/m²,530.000 €,286 m²,https://www.pisos.com/comprar/chalet-santa_eugenia_de_berga_centro_urbano08507-43392528921_253600/,Anuncio actualizado el 20/02/2025,"A, A","A, A",osona (BCN),286 m²,3,2,2536-080159,,,,250 m²,433 m²,,A estrenar,Parquet,,,Eléctrica,N/A,,,,N/A,Aluminio,,N/A,,,,,,,Privado,Sur,N/A,N/A,N/A,N/A,,,,,,,,,,,
Piso en Carrer de Miquel Llor,CÒDOL GESTIÓ VIC,4.159 €/m²,495.000 €,119 m²,https://www.pisos.com/comprar/piso-nord_el_sucre_universitat08500-51686776646_100500/,Anuncio actualizado el 19/02/2025,"A, A","A, A",osona (BCN),119 m²,4,2,SA4092-V02110,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Manlleu,QÚESTIONS IMMOBILIÀRIES,1.267 €/m²,180.000 €,142 m²,https://www.pisos.com/comprar/atico-manlleu_centro_urbano-39239134402_511005/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),142 m²,3,2,4511005-MA14623,N/A,N/A,,141 m²,,Entre 10 y 20 años,En buen estado,Parquet,,,Gas natural,N/A,,2ª,,,Aluminio,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en Plaça d'Europa,HABITATGE,1.793 €/m²,174.000 €,97 m²,https://www.pisos.com/comprar/piso-caputxins_santa_clara_hospital-51727745541_110700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),97 m²,3,1,1107-VP12502-06,N/A,N/A,,91 m²,,Entre 30 y 50 años,En buen estado,Gres,,,Gas natural,N/A,N/A,1ª,,N/A,Aluminio,,N/A,N/A,,,,,,,Este,,,,,,,,,,,,,,,
Piso en calle *,URBENIA,2.691 €/m²,218.000 €,81 m²,https://www.pisos.com/comprar/piso-centelles_centro_urbano-5020444036_109700/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),81 m²,3,2,EP1014-21650452,N/A,,N/A,,,,A estrenar,,,,,,,2ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Manlleu,LA CLAU GRUP IMMOBILIARI,1.897 €/m²,129.000 €,68 m²,https://www.pisos.com/comprar/piso-tona_centro_urbano-50024460850_187000/,Anuncio actualizado el 20/02/2025,"G, G","G, G",osona (BCN),68 m²,3,1,1870-100392,,,,65 m²,,Más de 50 años,Reformado,Gres,,,Gas natural,Reformada,Amplio,1ª,1,Pvc,PVC,N/A,N/A,N/A,N/A,N/A,,,,,Sur,,Roble,,,Toda la vivenda,N/A,Todo el día,N/A,,,,,,,
Piso en Parc de l'Horta Vermella,OSONA ACTIVA,1.577 €/m²,194.000 €,123 m²,https://www.pisos.com/comprar/piso-estadi_horta_vermella_santa_anna-45888195394_137000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),123 m²,3,2,1370-082596,N/A,,N/A,84 m²,,Entre 20 y 30 años,En buen estado,,,,Gas natural,,,Bajo,,N/A,Aluminio,,,,N/A,,,1,,,Noreste,,,,,N/A,,,,,,,,,,
Piso en calle *,URBENIA,2.691 €/m²,218.000 €,81 m²,https://www.pisos.com/comprar/piso-centelles_centro_urbano-5020444036_109700/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),81 m²,3,2,EP1014-21650452,N/A,,N/A,,,,A estrenar,,,,,,,2ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dúplex en Carrer de Manlleu, 43",SIMM,2.844 €/m²,330.000 €,116 m²,https://www.pisos.com/comprar/duplex-vic_centre_historic-814847208_110300/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),116 m²,3,2,1103-000005,N/A,N/A,N/A,104 m²,,Entre 10 y 20 años,En buen estado,N/A,N/A,N/A,N/A,N/A,N/A,3ª,Más de 2,N/A,N/A,N/A,N/A,,N/A,N/A,,,N/A,,N/A,,N/A,,,N/A,N/A,N/A,,,,,,,,
Casa en Carrer de Sant Antoni Maria Claret,OSONA ACTIVA,1.494 €/m²,260.000 €,174 m²,https://www.pisos.com/comprar/casa-els_hostalets_de_balenya-50899336491_137000/,Anuncio actualizado el 20/02/2025,"F, E","F, E",osona (BCN),174 m²,4,2,1370-082607,,,N/A,155 m²,,Entre 20 y 30 años,En buen estado,Parquet,,,Gas natural,N/A,,,,,Aluminio,,N/A,,,,,,,,Sur,,,,,,,,,,,,,,,
Casa en Carrer d'Alfons Amic,OSONA ACTIVA,1.357 €/m²,285.000 €,210 m²,https://www.pisos.com/comprar/casa-els_hostalets_de_balenya-50862142805_137000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),210 m²,3,1,1370-082609,,,,198 m²,442 m²,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Sant Bartomeu,ESPAI HABITAT,1.057 €/m²,329.000 €,311 m²,https://www.pisos.com/comprar/casa-els_hostalets_de_balenya-49260126283_109300/,Anuncio actualizado el 20/02/2025,"F, G","F, G",osona (BCN),311 m²,4,1,EP831-1443987,,,N/A,280 m²,1.042 m²,Más de 50 años,En buen estado,Cerámica o gress,N/A,N/A,Gas natural,Independiente,N/A,,,,N/A,,,,,,,N/A,,,Norte,,,,,,,,,,,,,,,
Casa en Santa Eugènia de Berga,Finques La Vall,1.090 €/m²,350.000 €,321 m²,https://www.pisos.com/comprar/casa-santa_eugenia_de_berga_centro_urbano08507-45083621723_253600/,Anuncio actualizado el 20/02/2025,"G, G","G, G",osona (BCN),321 m²,4,2,2536-010509,,,,270 m²,156 m²,Entre 30 y 50 años,En buen estado,Gres,,,Gas natural,Office de 12.50 m²,,,,N/A,Madera,N/A,25 m²,,,,,Más de 2,,Privado,Sur,N/A,Roure,N/A,N/A,,,,,,,,,,,
Piso en calle *,URBENIA,2.837 €/m²,210.000 €,74 m²,https://www.pisos.com/comprar/piso-centelles_centro_urbano-5020537603_109700/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),74 m²,2,2,EP1014-21650447,N/A,,N/A,,,,A estrenar,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de la Verge de Fàtima,ESPAI HABITAT,1.234 €/m²,226.000 €,183 m²,https://www.pisos.com/comprar/casa-els_hostalets_de_balenya-42506625398_109300/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),183 m²,5,2,EP831-1065430,,,,150 m²,77 m²,Entre 30 y 50 años,En buen estado,Cerámica o gress,N/A,N/A,Gasoil,Independiente,,,,,N/A,,,,,,,N/A,,,Este::oeste,,,,,,,,,,,,,,,
