nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Agua,Aire acondicionado,Calefacción,Puerta blindada,Ascensor,Terraza,Orientación,Exterior,Conservación,Garaje,Trastero,Lavadero,Carpintería interior,Vidrios dobles,Carpintería exterior,Gas,Teléfono,Cocina equipada,Comedor,Portero automático,Adaptado a personas con movilidad reducida,Soleado,Se aceptan mascotas,Sistema de seguridad,Balcón,Piscina,Jardín,Tipo de casa
Piso en Avinguda de la Catalana,Sarria Properties,3.370 €/m²,455.000 €,135 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-48417711210_100500/,Anuncio actualizado el 06/02/2025,"A, A","A, A",sant_adria_de_besos (BCN),135 m²,88 m²,3,2,2ª,Entre 5 y 10 años,Más de 100 €,SA3248-SP941/8414,N/A,1,Parquet,N/A,N/A,N/A,N/A,N/A,N/A,Este,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda d'Eduard Maristany,DON PISO ESPLUGUES DE LLOBREGAT,4.859 €/m²,520.000 €,107 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-49249807503_519066/,Anuncio actualizado el 20/02/2025,"E, E","E, E",sant_adria_de_besos (BCN),107 m²,75 m²,3,2,7ª,Entre 10 y 20 años,Entre 60 y 80 €,4519066-288251,,,Gres,,Frío y calor,Eléctrica,,,,Sureste,N/A,En buen estado,1,N/A,,,,,,,,,,,,,,,,,
Piso en Sant Adrià de Besòs,Finques Ortega,2.981 €/m²,319.000 €,107 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-48408584442_101300/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),107 m²,100 m²,3,2,,Entre 20 y 30 años,,API213-2024/034,,,,,,N/A,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,
Piso en Sant Adrià de Besòs,INMOBILIARIA LA MURALLA,2.992 €/m²,197.500 €,66 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-49207839923_285400/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),66 m²,62 m²,3,1,Bajo,Más de 50 años,50€ al mes,2854-10658,,1,Gres,,Frío y calor,Eléctrica,N/A,N/A,,Oeste,,En buen estado,,,4m²,Haya,N/A,Aluminio,N/A,N/A,6m² int (la campana no funciona),14m² a pm,Video portero,N/A,N/A,N/A,,,,,
Dúplex en Sant Adrià de Besòs,INMOBILIARIA LA MURALLA,3.558 €/m²,395.000 €,111 m²,https://www.pisos.com/comprar/duplex-sant_adria_de_besos_centro_urbano-45879466183_285400/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),111 m²,100 m²,3,2,1ª,Entre 20 y 30 años,35€ al mes,2854-10645,,1,Mármol,,Frío,Gas natural,N/A,,32m²,Sureste,N/A,En buen estado,,3m²,N/A,Blanca,N/A,Aluminio,N/A,N/A,6m²,22m²,N/A,,N/A,N/A,N/A,,,,
Piso en Carrer del Mossèn Josep Pons,"Punt Sagrada Família, S.L.",2.604 €/m²,375.000 €,144 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-51679436321_103700/,Anuncio actualizado el 18/02/2025,"E, E","E, E",sant_adria_de_besos (BCN),144 m²,104 m²,3,2,,Entre 20 y 30 años,,BLU5-LCB35116,,,,,,N/A,,N/A,N/A,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Sant Joan Baptista,ASA Habitatges,2.608 €/m²,313.000 €,120 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-42559257445_103800/,Anuncio actualizado el 03/02/2025,"E, E","E, E",sant_adria_de_besos (BCN),120 m²,113 m²,4,2,2ª,,Entre 40 y 60 €,INB124-VV0224,N/A,N/A,Parquet,N/A,N/A,Central,,N/A,,Sureste,N/A,Reformado,1,,,,,,,,N/A,,,,,,,,,,
Piso en Centro,ASA Habitatges,3.333 €/m²,230.000 €,69 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50862885188_103800/,Anuncio actualizado el 12/02/2025,"G, F","G, F",sant_adria_de_besos (BCN),69 m²,,3,1,2ª,,Entre 60 y 80 €,INB124-VV0225,,,Parquet,N/A,,Gas natural,,N/A,,Sur,N/A,En buen estado,,,,,,,,,N/A,,,,,N/A,,N/A,,,
Piso en Placeta de Francesc Macià,YAHOUSE,2.768 €/m²,299.000 €,108 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50843409942_100500/,Anuncio actualizado el 10/01/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),108 m²,95 m²,3,2,4ª,Entre 10 y 20 años,,SA4656-YH2078,,1,Parquet,,Frío,Central,,N/A,,,N/A,Reformado,,,,,N/A,,,,,,,N/A,N/A,,,N/A,,,
Piso en Placeta de Francesc Macià,YAHOUSE,2.768 €/m²,299.000 €,108 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-45868775923_100500/,Anuncio actualizado el 10/01/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),108 m²,95 m²,3,2,4ª,Entre 10 y 20 años,,SA4656-YH1726,,1,Parquet,,Frío,Central,,N/A,,,N/A,Reformado,,,,,N/A,,,,,,,N/A,N/A,,,N/A,,,
Piso en Carrer de Velázquez,FINQUES TORRES,3.076 €/m²,360.000 €,117 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50905363469_101800/,Anuncio actualizado el 14/02/2025,"E, E","E, E",sant_adria_de_besos (BCN),117 m²,,4,2,5ª,Más de 50 años,,IF76551-5649494,,1,,,,Central,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,
Piso en Plaça del Tèxtil,NOVA URBE SERVEIS IMMOBILIARIS,3.089 €/m²,275.000 €,89 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-51736194438_100500/,Anuncio actualizado el 07/02/2025,"E, E","E, E",sant_adria_de_besos (BCN),89 m²,64 m²,2,1,2ª,Entre 10 y 20 años,,SA4529-V0531D/3568,,,Parquet,,N/A,Gas natural,,N/A,N/A,Norte,,,1,N/A,,,,,,,,,,,,,,,,,
Piso en Avinguda d'Eduard Maristany,NOVA URBE SERVEIS IMMOBILIARIS,4.555 €/m²,410.000 €,90 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-39234257388_100500/,Anuncio actualizado el 05/12/2024,"C, C","C, C",sant_adria_de_besos (BCN),90 m²,63 m²,2,2,1ª,Entre 10 y 20 años,,SA4529-JV0209/3568,,1,Parquet,,N/A,N/A,,N/A,N/A,Oeste,,,,,,,,,,,,,,,,,,,Comunitaria,,
Ático en calle Pessebre Vivent,Sarria Properties,8.152 €/m²,750.000 €,92 m²,https://www.pisos.com/comprar/atico-sant_adria_de_besos_centro_urbano-48381008598_100500/,Anuncio actualizado el 13/01/2025,"A, A","A, A",sant_adria_de_besos (BCN),92 m²,57 m²,2,2,7ª,Menos de 5 años,,SA3248-SP934/8414,,1,Parquet,,N/A,N/A,N/A,N/A,N/A,Norte,,,,,,,,,,,,,,,,,,,Comunitaria,N/A,
