nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Exterior,Referencia,Armarios empotrados,Tipo suelo,Vidrios dobles,Aire acondicionado,Calefacción,Cocina equipada,Trastero,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Orientación,Interior,Chimenea,Jardín,Planta,Antigüedad,Lavadero,Sistema de seguridad,Conservación,Gastos de comunidad,Amueblado,Carpintería interior,Carpintería exterior,Comedor,Portero automático,Superficie solar,Garaje,Balcón,Soleado,Se aceptan mascotas,Gas,Teléfono,Agua,Piscina,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Piso en Llatí-Riera Alta-Cementiri Vell,FINCAS MIRAFER,2.231 €/m²,395.000 €,177 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-49227204439_108500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),177 m²,130 m²,4,3,N/A,AG230-1656,N/A,Gres,N/A,N/A,Gas natural,Individual,N/A,N/A,N/A,N/A,No acristalada,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centre-Can Mariner,FINCAS MIRAFER,1.710 €/m²,195.000 €,114 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-48426960196_108500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),114 m²,110 m²,3,1,,AG230-1654,,Parquet,,,,Individual,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Singuerlín-Les Oliveres-Can Franquesa-Guinardera,FINCAS MIRAFER,2.600 €/m²,650.000 €,250 m²,https://www.pisos.com/comprar/chalet-singuerlin_les_oliveres_can_franquesa_guinardera08-38355063067_108500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),250 m²,228 m²,4,3,,AG230-1525,N/A,Mármol,N/A,N/A,Gas natural,Individual,N/A,N/A,,N/A,No acristalada,Sur,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer dels Pirineus,JJFINQUES BADALONA,2.483 €/m²,149.000 €,60 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-48431498277_101800/,Anuncio actualizado el 20/02/2025,"F, F","F, F",santa_coloma_de_gramenet (BCN),60 m²,,3,1,,IF76353-F21,,,,,Central,,,N/A,,,,,,,,Entresuelo,Más de 50 años,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Ático en Carrer de la Cultura,L´AGENCIA GESTIO IMMOBILIARIA,2.950 €/m²,177.000 €,60 m²,https://www.pisos.com/comprar/atico-riu_nord_riu_sud08922-50038795347_992337/,Anuncio actualizado el 23/01/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),60 m²,58 m²,2,1,N/A,4992337-1709,1,Parquet,,,,N/A,,,,,N/A,,,,,4ª,Más de 50 años,N/A,,Reformado,Entre 40 y 60 €,N/A,N/A,Aluminio,N/A,N/A,,,,,,,,,,,,,
Casa en Avinguda del Sanatori,JJFINQUES BADALONA,Error al procesar precio m²,398.000 €,150 m²,https://www.pisos.com/comprar/casa-raval_santa_rosa_safaretjos-45845291521_101800/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),,,3,3,,IF76353-E96,1,,,,,N/A,,N/A,,,,,,,Privado,,Entre 5 y 10 años,,,,,,,,,,150 m²,1,,,,,,,,,,,
Piso en Passeig d'en Llorenç Serra,Chávez & inmobiliaria,3.589 €/m²,262.000 €,73 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-50865400944_518512/,Anuncio actualizado el 19/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),73 m²,66 m²,4,1,Patio de manzana-soleado de mañanas-mediodia,4518512-LC-m166,,Gres,,Aacc frio calor comedor,,Salida a lavadero,,Alarma conectada policia,N/A,,,Suroeste,,,,3ª,Más de 50 años,N/A,Alarma,En buen estado,Entre 40 y 60 €,,Roble,Aluminio,Salida a balcón,N/A,,,N/A,N/A,N/A,,,,,,,,
Casa en Carrer del Perú,FINQUES SANTOS,1.500 €/m²,312.000 €,208 m²,https://www.pisos.com/comprar/casa-llati_riera_alta_cementiri_vell08921-50000714036_511336/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),208 m²,208 m²,3,2,,4511336-FS1STCGCV37,,Gres,,,,,,,,,,,,,Privado,,Más de 50 años,,,A reformar,,,,Madera,,,,1,,,,,,,,,,,
Piso en Carrer de Prat de la Riba,IMMOLLAR,2.731 €/m²,265.000 €,97 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08921-51735498858_998670/,Anuncio actualizado el 19/02/2025,"F, F","F, F",santa_coloma_de_gramenet (BCN),97 m²,70 m²,4,2,N/A,4998670-29325,1,Terrazo,,,,N/A,,,N/A,N/A,,Noreste,,,,2ª,Entre 30 y 50 años,,N/A,En buen estado,Entre 40 y 60 €,N/A,,Aluminio,N/A,N/A,,,N/A,N/A,N/A,,,,,,,,
Piso en Llatí-Riera Alta-Cementiri Vell,FINCAS MIRAFER,2.231 €/m²,395.000 €,177 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-49227204439_108500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),177 m²,130 m²,4,3,N/A,AG230-1656,N/A,Gres,N/A,N/A,Gas natural,Individual,N/A,N/A,N/A,N/A,No acristalada,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,
