nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Carpintería interior,Tipo suelo,Carpintería exterior,Chimenea,Cocina equipada,Comedor,Lavadero,Trastero,Portero automático,Puerta blindada,Terraza,Orientación,Vidrios dobles,Aire acondicionado,Calefacción,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar,Armarios empotrados,Garaje,Jardín,Agua,Luz,Gas,Ascensor,Balcón,Soleado,Se aceptan mascotas,Interior,Gastos de comunidad,Adaptado a personas con movilidad reducida,Piscina,Teléfono,Tipo de casa,Amueblado,Sistema de seguridad,Alcantarillado
Piso en Carrer de Columel·la,FABRA FINQUES,1.524 €/m²,250.000 €,164 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-45044345380_142600/,Anuncio actualizado el 20/02/2025,"F, E","F, E",valles_occidental_nord (BCN),164 m²,130 m²,3,1,Bajo,N/A,Más de 50 años,A reformar,1426-087431,Roure,Gres,Madera,N/A,7m,22.8m,5m,tipo buhardilla,N/A,N/A,29m,Noreste,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer d'Emili Badiella,FABRA FINQUES,2.709 €/m²,485.000 €,179 m²,https://www.pisos.com/comprar/casa-sant_pere_zona_esportiva_sant_pere08225-49225715172_142600/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),179 m²,153 m²,3,3,,,,A estrenar,1426-087451,,Parquet,Aluminio,,Cuina office 38m²,,,,,N/A,N/A,Est-oest,N/A,Frío y calor,Eléctrica,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Casa en Carrer del Castellsapera,FABRA FINQUES,1.358 €/m²,550.000 €,405 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-47583970953_142600/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),405 m²,327 m²,4,3,,,Entre 30 y 50 años,En buen estado,1426-087442,N/A,Terrazo,Madera,N/A,"15m ,office",44m amb llar de foc i sortida a terrassa,"7,5m",,,N/A,32m a pie de comedor,4 vientos,,,Gasoil,N/A,N/A,N/A,1.407 m²,Más de 2,Más de 2,Privado,,,,,,,,,,,,,,,,
Casa en Centre,FABRA FINQUES,691 €/m²,500.000 €,723 m²,https://www.pisos.com/comprar/casa-terrassa_centre08221-541736093_142600/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),723 m²,723 m²,8,3,,,Más de 50 años,En buen estado,1426-019072,,,,,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,723 m²,N/A,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,
Piso en Carrer d'Almeria,SEDA IMMOBLES,2.142 €/m²,165.000 €,77 m²,https://www.pisos.com/comprar/piso-egara08226-51727229363_520011/,Anuncio actualizado el 14/02/2025,"D, D","D, D",valles_occidental_nord (BCN),77 m²,55 m²,3,1,2ª,N/A,Entre 10 y 20 años,En buen estado,4520011-5504,N/A,Gres,Aluminio,,N/A,N/A,N/A,,,N/A,,Este y oeste,,2 splits en salon y habitacion,Gas natural,,,,,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,,
Piso en Plaça de Josep Freixa i Argemí,FABRA FINQUES,2.525 €/m²,500.000 €,198 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-50929691409_142600/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),198 m²,147 m²,6,3,5ª,N/A,Entre 30 y 50 años,En buen estado,1426-087456,Embero,Parquet,Madera,N/A,10m,42m,5.7m,N/A,N/A,N/A,8m,Sur,,,Gas natural,,,,,Más de 2,1,,,,N/A,N/A,N/A,N/A,,N/A,Mensual,N/A,,,,,,
"Piso en Carrer d'Arquimedes, 213",BONSOL GESTIÓ IMMOBILIÀRIA,2.153 €/m²,295.000 €,137 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-43402602810_101800/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),137 m²,,4,2,,,Más de 50 años,,IF77124-ARQ 213,,,,,N/A,,N/A,N/A,,,,,,,,,,,,1,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer Nou de Sant Pere,FABRA FINQUES,2.466 €/m²,365.000 €,148 m²,https://www.pisos.com/comprar/piso-terrassa_centre08221-340072816_142600/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),148 m²,115 m²,3,2,1ª,N/A,Entre 20 y 30 años,En buen estado,1426-015053,N/A,Parquet,Aluminio,,N/A,N/A,N/A,,N/A,,30m,N/A,N/A,,Gas natural,,,,,1,,,N/A,N/A,N/A,N/A,,N/A,,,,,,,,,,
"Casa en Carrer de la Vista Alegre, 56",Coldwell Banker Premium Real Estate,4.222 €/m²,950.000 €,225 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-48403001251_106700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),225 m²,,3,2,,,,,IFC76325-CBSC170,,,,,,,,,,,N/A,,,N/A,,,,,2.000 m²,,,N/A,,,,,,,,,,,N/A,,,,,
Chalet unifamiliar en Carrer de Davi,ESPAI VIU,1.726 €/m²,580.000 €,336 m²,https://www.pisos.com/comprar/chalet_unifamiliar-matadepera_centro_urbano-47579816465_515612/,Anuncio actualizado el 16/02/2025,"E, E","E, E",valles_occidental_nord (BCN),336 m²,300 m²,4,3,,,Más de 50 años,Reformado,515612-XM-595,,Parquet,Aluminio,N/A,,,,,,,N/A,Sur,,,Gasoil,N/A,N/A,N/A,1.004 m²,Más de 2,Más de 2,Privado,,,,,,,,,,,Propia,N/A,,,,
Casa en Carrer de Caldes,SEDA IMMOBLES,1.623 €/m²,394.500 €,243 m²,https://www.pisos.com/comprar/casa-sentmenat_centro_urbano-51716288421_520011/,Anuncio actualizado el 20/02/2025,"D, D","D, D",valles_occidental_nord (BCN),243 m²,165 m²,3,3,,,Entre 20 y 30 años,En buen estado,4520011-5484,N/A,Gres,Madera,,N/A,N/A,,,,N/A,N/A,Este y oeste,N/A,Frío,Gas natural,,,,,Más de 2,1,,,,N/A,,,,N/A,,,,,,,,,
