nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Planta,Conservación,Referencia,Ascensor,Terraza,Superficie útil,Exterior,Antigüedad,Gastos de comunidad,Carpintería interior,Tipo suelo,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Lavadero,Balcón,Orientación,Garaje,Piscina,Armarios empotrados,Vidrios dobles,Puerta blindada,Urbanizado,Calle alumbrada,Calle asfaltada,Agua,Superficie solar,Trastero,Jardín,Sistema de seguridad,Soleado,Se aceptan mascotas,Chimenea,Portero automático,Adaptado a personas con movilidad reducida,Interior,Tipo de casa,Teléfono,Amueblado,Luz,No se aceptan mascotas
"Piso en Carrer de Cantabria, 20",AEDAS HOMES,2.438 €/m²,256.000 €,105 m²,https://www.pisos.com/comprar/piso-barbera_del_valles_centro_urbano-5251944110_109700/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),105 m²,3,2,1ª,A estrenar,-a0P1v00000yhXdGEAU,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de l'Inventor Monturiol, 40",Moran &Sender,2.371 €/m²,185.000 €,78 m²,https://www.pisos.com/comprar/piso-rubi_les_torres-50931485121_519629/,Anuncio actualizado el 13/02/2025,"E, E","E, E",valles_occidental_sud (BCN),78 m²,3,1,6ª,Reformado,4519629-VR1666,,,65 m²,N/A,Entre 30 y 50 años,Entre 20 y 40 €,Madera haya,Ceràmico,Aluminio,N/A,Frío,Radiadores,N/A,N/A,En cocina,N/A,Este,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en Carrer de Echegaray, 1",Moran &Sender,1.863 €/m²,410.000 €,220 m²,https://www.pisos.com/comprar/chalet-sant_muc_castellnou_can_mir-50886195074_519629/,Anuncio actualizado el 14/02/2025,"E, E","E, E",valles_occidental_sud (BCN),220 m²,5,3,,Reformado,4519629-VR1618,,N/A,189 m²,,Entre 10 y 20 años,,Madera haya,Ceràmico,Aluminio,,Frío y calor,Gas natural,N/A,N/A,,,"Este, oeste",1,Propia,,,,,,,,,,,,,,,,,,,,,,
Casa en Carretera de Rubí a Ullastrell,GD&A BROKERS INMOBILIARIOS,2.158 €/m²,680.000 €,315 m²,https://www.pisos.com/comprar/casa-sant_muc_castellnou_can_mir-43377601484_991923/,Anuncio actualizado el 20/02/2025,"D, D","D, D",valles_occidental_sud (BCN),315 m²,4,4,,A estrenar,4991923-50144,,N/A,300 m²,,Menos de 5 años,,N/A,,Aluminio,N/A,Frío y calor,Gasoil,N/A,N/A,N/A,,Sur,Más de 2,,Más de 2,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,
"Piso en Carrer dels Calders, 157",PREMIER ESPAÑA,3.105 €/m²,236.000 €,76 m²,https://www.pisos.com/comprar/piso-eixample_sant_oleguer08203-5257114719_109700/,Anuncio actualizado el 20/02/2025,"A, A","A, A",valles_occidental_sud (BCN),76 m²,2,1,,A estrenar,4992912-21799854,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Sant Isidre,"ONE EXPERTOS GESTION INMOBILIARIA, S.L.",2.068 €/m²,240.000 €,116 m²,https://www.pisos.com/comprar/casa-rubi_centre-41702220321_139800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),116 m²,3,2,,A reformar,1398-111071,,N/A,116 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Frederic Puig, 11",ABS SERVEIS INMOBILIARIS,3.137 €/m²,320.000 €,102 m²,https://www.pisos.com/comprar/piso-fontetes_carretera_de_barcelona-47584560929_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_sud (BCN),102 m²,4,2,4ª,,SA336-00482/604,N/A,,89 m²,,Entre 20 y 30 años,Entre 80 y 100 €,,Gres,,,,Gas natural,,,,N/A,Sur,1,,1,,N/A,,,,N/A,,,,,,,,,,,,,,,
Piso en Pinetons,SOMNIS GESTIONS IMMOBILIARIES,3.663 €/m²,337.000 €,92 m²,https://www.pisos.com/comprar/piso-can_clos_els_pinetons08291-50887672324_108900/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),92 m²,3,2,,En buen estado,XA563-P-1937,N/A,N/A,,N/A,,,,,,,N/A,N/A,N/A,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Casa en Sant Quirze del Vallès,Coldwell Banker Premium Real Estate,2.236 €/m²,1.250.000 €,559 m²,https://www.pisos.com/comprar/casa-sant_quirze_del_valles_centro_urbano-41738645255_106700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),559 m²,7,3,,,IFC76325-CBMT457A,,N/A,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,1.545 m²,N/A,N/A,,,,,,,,,,,,
Piso en Carretera de Ripollet,Chávez & inmobiliaria,3.069 €/m²,288.500 €,94 m²,https://www.pisos.com/comprar/piso-mas_rampinyo_carrerada_mas_pomada-47567590067_518512/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),94 m²,3,2,4ª,Reformado,4518512-LC-m155,,,90 m²,N/A,Entre 20 y 30 años,Entre 40 y 60 €,Lacada en   blanco,Parquet,Aluminio,N/A,Por conductos,Eléctrica,Con salida a lavadero,Con salida a amplio balcón,N/A,N/A,Suroeste,1,,1,N/A,N/A,,,,,,,,N/A,N/A,N/A,,,,,,,,,
"Chalet en Carrer de Pompeu Fabra, 46",Moran &Sender,1.371 €/m²,299.000 €,218 m²,https://www.pisos.com/comprar/chalet-sant_muc_castellnou_can_mir-51674158170_519629/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),218 m²,4,2,,En buen estado,4519629-VR1699,,N/A,160 m²,,Entre 30 y 50 años,,Madera haya,Ceràmico,Aluminio,,Frío y calor,Bomba de calor,N/A,N/A,,,Sur,1,,,,,,,,,,,Privado,,,,N/A,,,,,,,,
Piso en La Creu de Barberà,GESTILLAR,Error al procesar precio m²,269.000 €,3,https://www.pisos.com/comprar/piso-la_creu_de_barbera08204-49215066184_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),,3,2,,,AG560-10965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Centre,"ONE EXPERTOS GESTION INMOBILIARIA, S.L.",2.068 €/m²,240.000 €,116 m²,https://www.pisos.com/comprar/casa-rubi_centre-40838328768_139800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),116 m²,3,2,,En buen estado,1398-6934,,,116 m²,,,,,,,,,,,,,,Sur,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet adosado en Carrer del Brillant, 1",Moran &Sender,1.774 €/m²,330.000 €,186 m²,https://www.pisos.com/comprar/chalet_adosado-can_fatjo_can_ximelis_can_serrafosa_sant_jordi_par-50870570106_519629/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),186 m²,4,3,,En buen estado,4519629-VR1665,,N/A,134 m²,,Entre 20 y 30 años,,Madera haya,,Aluminio,,Frío y calor,Gas natural,N/A,N/A,,,Sur,2,,1,,,,,,,,,,,,,,,,,,,,,
Casa en Palau-Solità I Plegamans,INMOBILIARIA ARGEMI,3.652 €/m²,1.450.000 €,397 m²,https://www.pisos.com/comprar/casa-palau_solita_i_plegamans_centro_urbano-50064141870_516203/,Anuncio actualizado el 20/02/2025,"D, D","D, D",valles_occidental_sud (BCN),397 m²,4,4,,Reformado,516203-60011407,,N/A,316 m²,,Entre 20 y 30 años,,,Mármol,Aluminio,,Frío y calor,Gas natural,N/A,N/A,N/A,,Sur,Más de 2,Propia,Más de 2,,,N/A,N/A,N/A,,1.526 m²,,,,,,N/A,,,,,,,,
Casa en Valldoreix,Coldwell Banker Premium Real Estate,12.962 €/m²,1.400.000 €,108 m²,https://www.pisos.com/comprar/casa-sant_cugat_del_valles_valldoreix08197-46757216110_106700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),108 m²,5,2,,,IFC76325-CBSC157,,,67 m²,,,,,,,,,,,,,,,,,,,,,,,,1.407 m²,,,,,,,,,,,,,,
