nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Tipo suelo,Aire acondicionado,Cocina equipada,Lavadero,Trastero,Terraza,Jardín,Planta,Exterior,Calefacción,Ascensor,Adaptado a personas con movilidad reducida,Balcón,Soleado,Armarios empotrados,Chimenea,Garaje,Piscina,Orientación,Gastos de comunidad,Puerta blindada,Tipo de casa,Carpintería exterior,Vidrios dobles,Sistema de seguridad,Agua,Teléfono,Luz,Gas,Urbanizado,Calle alumbrada,Calle asfaltada,Carpintería interior,Comedor,Portero automático,Interior,Amueblado,Se aceptan mascotas,No se aceptan mascotas
Chalet en Carrer de Bosch Codern,FINCAS LEON MONTMELO,2.206 €/m²,278.000 €,126 m²,https://www.pisos.com/comprar/chalet-llica_de_vall_centro_urbano-25861387126_100500/,Anuncio actualizado el 20/02/2025,"F, F","F, F",valles_oriental (BCN),126 m²,83 m²,265 m²,2,1,Más de 50 años,En buen estado,SA1545-EV11287,Gres,Frío,Cocina amueblada,N/A,N/A,N/A,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Can Parera,FINCAS LEON MONTORNES,2.186 €/m²,199.000 €,91 m²,https://www.pisos.com/comprar/piso-montornes_del_valles_centro_urbano-51668610444_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_oriental (BCN),91 m²,77 m²,,3,1,Entre 30 y 50 años,En buen estado,SA1543-LV12114,Terrazo,,Cocina amueblada,,,,,3ª,N/A,Gas natural,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle Carrer Rafael Casanovas,FINCAS LEON MONTORNES,1.141 €/m²,630.000 €,552 m²,https://www.pisos.com/comprar/chalet-vallromanes_centro_urbano-35849164876_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",valles_oriental (BCN),552 m²,290 m²,2.650 m²,6,3,Más de 50 años,En buen estado,SA1543-LV12034,Terrazo,,Cocina amueblada,N/A,,N/A,Privado,,,Gasoil,,,,,1,N/A,1,Propia,Noreste,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Joan XXIII,FINCAS LEON MONTMELO,2.241 €/m²,195.000 €,87 m²,https://www.pisos.com/comprar/piso-montornes_del_valles_centro_urbano-51674153296_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",valles_oriental (BCN),87 m²,75 m²,,4,1,Entre 30 y 50 años,En buen estado,SA1545-EV11385,Gres,Frío,Cocina amueblada,N/A,,,,1ª,,Gas natural,N/A,N/A,N/A,,,,,,Norte,Entre 20 y 40 €,N/A,,,,,,,,,,,,,,,,,,
Casa adosada en Carrer de Sant Jordi,FINCAS LEON MONTMELO,2.182 €/m²,275.000 €,126 m²,https://www.pisos.com/comprar/casa_adosada-parets_del_valles_centro_urbano08150-49228156662_100500/,Anuncio actualizado el 20/02/2025,"E, D","E, D",valles_oriental (BCN),126 m²,100 m²,,4,2,Entre 30 y 50 años,En buen estado,SA1545-EV11379,Gres,Frío,,,,N/A,,,,Central,,,,,,,1,,,,,Adosada,,,,,,,,,,,,,,,,,
Piso en Carrer de Corró,BENE INTERIORISME 2004 SL,2.513 €/m²,186.000 €,74 m²,https://www.pisos.com/comprar/piso-hostal_lledoner08401-47518457648_522044/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),74 m²,68 m²,,3,1,Entre 20 y 30 años,En buen estado,4522044-v96,Gres,,,,,18 m²,,1ª,,Central,N/A,,,,,,,,Noreste,,,,Aluminio,,,,,,,,,,,,,,,,
Casa pareada en Carrer de la Verge de Núria,FINCAS LEON MONTORNES,2.529 €/m²,430.000 €,170 m²,https://www.pisos.com/comprar/casa_pareada-sant_fost_de_campsentelles_centro_urbano-27572986149_100500/,Anuncio actualizado el 20/02/2025,"A, B","A, B",valles_oriental (BCN),170 m²,165 m²,128 m²,4,3,Menos de 5 años,En buen estado,SA1543-LV11978,Gres,Frío,Cocina equipada,,,,Privado,,,Gas natural,,,,,1,,1,,,,,Pareada,,N/A,N/A,,,,,,,,,,,,,,
Piso en Carrer de Girona,HABITACLIS,2.250 €/m²,162.000 €,72 m²,https://www.pisos.com/comprar/piso-les_franqueses_del_valles_bellavista-50046685920_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),72 m²,65 m²,,3,1,Más de 50 años,,SA2390-296/7966,Gres,,,,,N/A,,2ª,,Gas natural,,,N/A,,,,,,Oeste,,,,,,,N/A,N/A,,,,,,,,,,,,
Chalet en calle calle Cami de Lloveres 0,Esteban	MENDEZ,1.315 €/m²,475.000 €,361 m²,https://www.pisos.com/comprar/chalet-sant_feliu_de_codines_centro_urbano-45013490224_108700/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_oriental (BCN),361 m²,361 m²,734 m²,5,5,Entre 30 y 50 años,,UVC808-26660,,N/A,,,,N/A,N/A,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Chalet en Carrer de Berenguer,Finques Ferro,2.272 €/m²,450.000 €,198 m²,https://www.pisos.com/comprar/chalet-bigues-50844526182_100500/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),198 m²,158 m²,474 m²,5,3,Menos de 5 años,En buen estado,SA2446-1975-346,,N/A,,,N/A,N/A,N/A,,,,,,,,,,,N/A,Sur,,,,,,,,,,,,,,,,,,,,
