identificador,nombre,href,agencia,timestamp,ubicacion,CCAA,codigo_postal,planta,orientacion,precio,precio_m2,antiguedad,actualizacion,superficie_util,superficie_construida,superficie,habitaciones,baños,cocina_equipada,amueblado,terraza,armarios_empotrados,calefaccion,aire_acondicionado,ascensor,consumo,emisiones
40920273409_100500,Piso en calle Amapola,https://www.pisos.com/alquilar/piso-plaza_de_toros_santa_rita04004-40920273409_100500/,SALVADOR VIVIENDAS & LOCALES,2025-02-21,almeria_capital,Andalucía,4004.0,3.0,ESTE,750.0,9.0,Más de 50 años,2025-02-21,67.0,78.0,78.0,3.0,1.0,,,,Si,,Si,Si,Error al procesar consumo,Error al procesar emisiones
15062564089_100500,Piso en Avenida de la Estación,https://www.pisos.com/alquilar/piso-oliveros_altamira_barrio_alto04005-15062564089_100500/,AGENCIA INMOBILIARIA PDM,2025-02-21,almeria_capital,Andalucía,4005.0,4.0,SIN ESPECIFICAR,700.0,6.0,Más de 50 años,2025-02-21,90.0,102.0,102.0,3.0,2.0,Si,,,,,,Si,Error al procesar consumo,Error al procesar emisiones
658149002_501470,Piso en Avenida del Cabo de Gata,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo-658149002_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-21,almeria_capital,Andalucía,,6.0,SIN ESPECIFICAR,1200.0,12.0,Entre 30 y 50 años,2025-02-21,85.0,95.0,95.0,3.0,1.0,Si,Si,Si,Si,,Si,Si,Error al procesar consumo,Error al procesar emisiones
51692384809_100500,Piso en calle Gerona,https://www.pisos.com/alquilar/piso-almeria_capital_centro04001-51692384809_100500/,HABITA ESTATE,2025-02-20,almeria_capital,Andalucía,4001.0,1.0,NORTE,850.0,8.0,,2025-02-20,90.0,98.0,98.0,3.0,2.0,Si,Si,,Si,,,Si,Error al procesar consumo,Error al procesar emisiones
51698280512_100500,Piso en Avda. Mediterraneo,https://www.pisos.com/alquilar/piso-san_luis_los_molinos04009-51698280512_100500/,Indalo Remax,2025-02-20,almeria_capital,Andalucía,4009.0,0.0,ESTE,790.0,10.0,Entre 20 y 30 años,2025-02-20,63.0,74.0,74.0,2.0,2.0,,,Si,Si,Si,Si,Si,"E, D","E, D"
48377934693_514659,Piso en calle Vera,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo04007-48377934693_514659/,ALMERICRIS INMOBILIARIA,2025-02-20,almeria_capital,Andalucía,4007.0,21.0,SIN ESPECIFICAR,800.0,10.0,,2025-02-20,73.0,75.0,75.0,3.0,1.0,Si,Si,,,,,Si,Error al procesar consumo,Error al procesar emisiones
27512148115_100500,Piso en Manuel Azaña,https://www.pisos.com/alquilar/piso-san_luis_los_molinos04006-27512148115_100500/,ZAPILLO INVERSIONES,2025-02-13,almeria_capital,Andalucía,4006.0,1.0,SIN ESPECIFICAR,650.0,7.0,Entre 20 y 30 años,2025-02-13,75.0,85.0,85.0,2.0,1.0,,,,,,Si,Si,Error al procesar consumo,Error al procesar emisiones
50860535281_106000,Piso en calle Maestro Amate,https://www.pisos.com/alquilar/piso-san_luis_los_molinos04009-50860535281_106000/,Berenguel Lopez Inmobiliaria,2025-02-07,almeria_capital,Andalucía,4009.0,2.0,SIN ESPECIFICAR,750.0,7.0,,2025-02-07,,100.0,100.0,3.0,2.0,,Si,,,,,,Error al procesar consumo,Error al procesar emisiones
50926672001_239800,Piso en Avenida Nuestra Señora de Montserrat,https://www.pisos.com/alquilar/piso-almeria_capital_nueva_andalucia-50926672001_239800/,ADRIKO INMOBILIARIA,2025-02-20,almeria_capital,Andalucía,,5.0,SUR,550.0,7.0,Más de 50 años,2025-02-20,55.0,73.0,73.0,3.0,1.0,,Si,,,,Si,,"G, F","G, F"
15878598482_501470,Piso en Oliveros-Altamira-Barrio Alto,https://www.pisos.com/alquilar/piso-oliveros_altamira_barrio_alto-15878598482_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-11,almeria_capital,Andalucía,,4.0,NORTE,700.0,5.0,,2025-02-11,110.0,120.0,120.0,3.0,2.0,Si,,,,,,Si,Error al procesar consumo,Error al procesar emisiones
